Player,ID,Team
Kevin Durant,duranke01,OKC
LeBron James,jamesle01,MIA
Kobe Bryant,bryanko01,LAL
Derrick Rose,rosede01,CHI
Amar'e Stoudemire,stoudam01,NYK
Carmelo Anthony,anthoca01,2TM
Carmelo Anthony,anthoca01,DEN
Carmelo Anthony,anthoca01,NYK
Dwyane Wade,wadedw01,MIA
Monta Ellis,ellismo01,GSW
Kevin Martin,martike02,HOU
Blake Griffin,griffbl01,LAC
Russell Westbrook,westbru01,OKC
Dwight Howard,howardw01,ORL
LaMarcus Aldridge,aldrila01,POR
Dirk Nowitzki,nowitdi01,DAL
Brook Lopez,lopezbr01,NJN
Danny Granger,grangda01,IND
Pau Gasol,gasolpa01,LAL
Al Jefferson,jeffeal01,UTA
Paul Pierce,piercpa01,BOS
Zach Randolph,randoza01,MEM
Kevin Love,loveke01,MIN
Chris Bosh,boshch01,MIA
Luol Deng,denglu01,CHI
Andrea Bargnani,bargnan01,TOR
DeMar DeRozan,derozde01,TOR
Michael Beasley,beaslmi01,MIN
Manu GinÃ³bili,ginobma01,SAS
Stephen Curry,curryst01,GSW
Tony Parker,parketo01,SAS
Luis Scola,scolalu01,HOU
Dorell Wright,wrighdo01,GSW
David West,westda01,NOH
Ray Allen,allenra02,BOS
Paul Millsap,millspa01,UTA
Joe Johnson,johnsjo02,ATL
Deron Williams,willide01,2TM
Deron Williams,willide01,UTA
Deron Williams,willide01,NJN
Wesley Matthews,matthwe02,POR
Jason Terry,terryja01,DAL
Josh Smith,smithjo03,ATL
Chris Paul,paulch01,NOH
Jason Richardson,richaja01,2TM
Jason Richardson,richaja01,PHO
Jason Richardson,richaja01,ORL
Eric Gordon,gordoer01,LAC
Stephen Jackson,jacksst02,CHA
Elton Brand,brandel01,PHI
Chauncey Billups,billuch01,2TM
Chauncey Billups,billuch01,DEN
Chauncey Billups,billuch01,NYK
David Lee,leeda02,GSW
Lamar Odom,odomla01,LAL
D.J. Augustin,augusdj01,CHA
Al Horford,horfoal01,ATL
Raymond Felton,feltora01,2TM
Raymond Felton,feltora01,NYK
Raymond Felton,feltora01,DEN
Jrue Holiday,holidjr01,PHI
DeMarcus Cousins,couside01,SAC
John Wall,walljo01,WAS
Nick Young,youngni01,WAS
Gerald Wallace,wallage01,2TM
Gerald Wallace,wallage01,CHA
Gerald Wallace,wallage01,POR
Mike Conley,conlemi01,MEM
Steve Nash,nashst01,PHO
J.J. Hickson,hicksjj01,CLE
Wilson Chandler,chandwi01,2TM
Wilson Chandler,chandwi01,NYK
Wilson Chandler,chandwi01,DEN
Tayshaun Prince,princta01,DET
NenÃª,hilarne01,DEN
Beno Udrih,udrihbe01,SAC
Rodney Stuckey,stuckro01,DET
Devin Harris,harride01,2TM
Devin Harris,harride01,NJN
Devin Harris,harride01,UTA
Jamal Crawford,crawfja01,ATL
Andray Blatche,blatcan01,WAS
Ramon Sessions,sessira01,CLE
Rudy Gay,gayru01,MEM
Kevin Garnett,garneke01,BOS
Grant Hill,hillgr01,PHO
Thaddeus Young,youngth01,PHI
Darren Collison,collida01,IND
Carlos Boozer,boozeca01,CHI
Andre Miller,millean02,POR
Lou Williams,willilo02,PHI
Roy Hibbert,hibbero01,IND
John Salmons,salmojo01,MIL
Tim Duncan,duncati01,SAS
Vince Carter,cartevi01,2TM
Vince Carter,cartevi01,ORL
Vince Carter,cartevi01,PHO
Brandon Jennings,jennibr01,MIL
Tyreke Evans,evansty01,SAC
Kyle Lowry,lowryky01,HOU
Antawn Jamison,jamisan01,CLE
C.J. Miles,milescj01,UTA
Shawn Marion,mariosh01,DAL
James Harden,hardeja01,OKC
Jeff Green,greenje02,2TM
Jeff Green,greenje02,OKC
Jeff Green,greenje02,BOS
Jameer Nelson,nelsoja01,ORL
Nicolas Batum,batumni01,POR
Channing Frye,fryech01,PHO
Danilo Gallinari,gallida01,2TM
Danilo Gallinari,gallida01,NYK
Danilo Gallinari,gallida01,DEN
J.R. Smith,smithjr01,DEN
Marc Gasol,gasolma01,MEM
Andre Iguodala,iguodan01,PHI
Ty Lawson,lawsoty01,DEN
Marcus Thornton,thornma01,2TM
Marcus Thornton,thornma01,NOH
Marcus Thornton,thornma01,SAC
Boris Diaw,diawbo01,CHA
Ben Gordon,gordobe01,DET
Glen Davis,davisgl01,BOS
Carl Landry,landrca01,2TM
Carl Landry,landrca01,SAC
Carl Landry,landrca01,NOH
Richard Jefferson,jefferi01,SAS
George Hill,hillge01,SAS
Hedo TÃ¼rkoÄlu,turkohe01,2TM
Hedo TÃ¼rkoÄlu,turkohe01,PHO
Hedo TÃ¼rkoÄlu,turkohe01,ORL
Arron Afflalo,afflaar01,DEN
Jared Dudley,dudleja01,PHO
Toney Douglas,douglto01,NYK
Brandon Bass,bassbr01,ORL
Luke Ridnour,ridnolu01,MIN
Charlie Villanueva,villach01,DET
Marco Belinelli,belinma01,NOH
Andrew Bogut,bogutan01,MIL
Trevor Ariza,arizatr01,NOH
Marcin Gortat,gortama01,2TM
Marcin Gortat,gortama01,ORL
Marcin Gortat,gortama01,PHO
Mo Williams,willima01,2TM
Mo Williams,willima01,CLE
Mo Williams,willima01,LAC
Serge Ibaka,ibakase01,OKC
Corey Maggette,maggeco01,MIL
O.J. Mayo,mayooj01,MEM
JaVale McGee,mcgeeja01,WAS
Landry Fields,fieldla01,NYK
Gary Neal,nealga01,SAS
Daniel Gibson,gibsoda01,CLE
Richard Hamilton,hamilri01,DET
Jodie Meeks,meeksjo01,PHI
Leandro Barbosa,barbole01,TOR
J.J. Barea,bareajo01,DAL
Tyler Hansbrough,hansbty01,IND
Chase Budinger,budinch01,HOU
Al Harrington,harrial01,DEN
Anthony Morrow,morroan01,NJN
Baron Davis,davisba01,2TM
Baron Davis,davisba01,LAC
Baron Davis,davisba01,CLE
Travis Outlaw,outlatr01,NJN
Gilbert Arenas,arenagi01,2TM
Gilbert Arenas,arenagi01,WAS
Gilbert Arenas,arenagi01,ORL
Greg Monroe,monrogr01,DET
Andrei Kirilenko,kirilan01,UTA
Tyson Chandler,chandty01,DAL
Emeka Okafor,okafoem01,NOH
Kris Humphries,humphkr01,NJN
Reggie Williams,willire02,GSW
Kirk Hinrich,hinriki01,2TM
Kirk Hinrich,hinriki01,WAS
Kirk Hinrich,hinriki01,ATL
Jarrett Jack,jackja01,2TM
Jarrett Jack,jackja01,TOR
Jarrett Jack,jackja01,NOH
Darrell Arthur,arthuda01,MEM
Rajon Rondo,rondora01,BOS
Shannon Brown,brownsh01,LAL
Wesley Johnson,johnswe01,MIN
Jordan Farmar,farmajo01,NJN
Metta World Peace,artesro01,LAL
Amir Johnson,johnsam01,TOR
Mike Bibby,bibbymi01,3TM
Mike Bibby,bibbymi01,ATL
Mike Bibby,bibbymi01,WAS
Mike Bibby,bibbymi01,MIA
Mike Dunleavy,dunlemi02,IND
Ryan Anderson,anderry01,ORL
Kyle Korver,korveky01,CHI
Marvin Williams,willima02,ATL
DeJuan Blair,blairde01,SAS
Willie Green,greenwi01,NOH
Courtney Lee,leeco01,HOU
JosÃ© CalderÃ³n,caldejo01,TOR
Hakim Warrick,warriha01,PHO
Rudy FernÃ¡ndez,fernaru01,POR
Rashard Lewis,lewisra02,2TM
Rashard Lewis,lewisra02,ORL
Rashard Lewis,lewisra02,WAS
Jason Thompson,thompja02,SAC
Sasha VujaÄiÄ,vujacsa01,2TM
Sasha VujaÄiÄ,vujacsa01,LAL
Sasha VujaÄiÄ,vujacsa01,NJN
Gerald Henderson,hendege02,CHA
Jerryd Bayless,bayleje01,2TM
Jerryd Bayless,bayleje01,NOH
Jerryd Bayless,bayleje01,TOR
Samuel Dalembert,dalemsa01,SAC
Tony Allen,allento01,MEM
Aaron Brooks,brookaa01,2TM
Aaron Brooks,brookaa01,HOU
Aaron Brooks,brookaa01,PHO
Jason Kidd,kiddja01,DAL
Shane Battier,battish01,2TM
Shane Battier,battish01,HOU
Shane Battier,battish01,MEM
Randy Foye,foyera01,LAC
Andrew Bynum,bynuman01,LAL
Omri Casspi,casspom01,SAC
Brandon Rush,rushbr01,IND
Darko MiliÄiÄ,milicda01,MIN
Anthony Parker,parkean01,CLE
JJ Redick,redicjj01,ORL
Spencer Hawes,hawessp01,PHI
Chuck Hayes,hayesch01,HOU
Nenad KrstiÄ,krstine01,2TM
Nenad KrstiÄ,krstine01,OKC
Nenad KrstiÄ,krstine01,BOS
Tracy McGrady,mcgratr01,DET
Brandon Roy,roybr01,POR
Sam Young,youngsa01,MEM
Keyon Dooling,doolike01,MIL
Ersan Ä°lyasova,ilyaser01,MIL
Taj Gibson,gibsota01,CHI
DeAndre Jordan,jordade01,LAC
Carlos Delfino,delfica01,MIL
Evan Turner,turneev01,PHI
Joakim Noah,noahjo01,CHI
Francisco GarcÃ­a,garcifr01,SAC
Derek Fisher,fishede01,LAL
Corey Brewer,breweco01,2TM
Corey Brewer,breweco01,MIN
Corey Brewer,breweco01,DAL
Ryan Gomes,gomesry01,LAC
Sonny Weems,weemsso01,TOR
Eric Bledsoe,bledser01,LAC
Raja Bell,bellra01,UTA
Austin Daye,dayeau01,DET
Nazr Mohammed,mohamna01,2TM
Nazr Mohammed,mohamna01,CHA
Nazr Mohammed,mohamna01,OKC
Josh McRoberts,mcrobjo01,IND
Derrick Favors,favorde01,2TM
Derrick Favors,favorde01,NJN
Derrick Favors,favorde01,UTA
Luc Mbah a Moute,mbahalu01,MIL
Kwame Brown,brownkw01,CHA
Al Thornton,thornal01,2TM
Al Thornton,thornal01,WAS
Al Thornton,thornal01,GSW
Goran DragiÄ,dragigo01,2TM
Goran DragiÄ,dragigo01,PHO
Goran DragiÄ,dragigo01,HOU
Ronnie Brewer,brewero02,CHI
Ed Davis,davised01,TOR
Jordan Crawford,crawfjo02,2TM
Jordan Crawford,crawfjo02,ATL
Jordan Crawford,crawfjo02,WAS
Will Bynum,bynumwi01,DET
Dante Cunningham,cunnida01,2TM
Dante Cunningham,cunnida01,POR
Dante Cunningham,cunnida01,CHA
Matt Bonner,bonnema01,SAS
Shaun Livingston,livinsh01,CHA
Paul George,georgpa01,IND
James Jones,jonesja02,MIA
Maurice Evans,evansma01,2TM
Maurice Evans,evansma01,ATL
Maurice Evans,evansma01,WAS
Al-Farouq Aminu,aminual01,LAC
Shawne Williams,willish03,NYK
Martell Webster,webstma02,MIN
Mario Chalmers,chalmma01,MIA
Caron Butler,butleca01,DAL
Linas Kleiza,kleizli01,TOR
Anthony Tolliver,tollian01,MIN
Robin Lopez,lopezro01,PHO
Chris Wilcox,wilcoch01,DET
Tyrus Thomas,thomaty01,CHA
Kenyon Martin,martike01,DEN
Wayne Ellington,ellinwa01,MIN
MickaÃ«l PiÃ©trus,pietrmi01,2TM
MickaÃ«l PiÃ©trus,pietrmi01,ORL
MickaÃ«l PiÃ©trus,pietrmi01,PHO
Earl Boykins,boykiea01,MIL
Jordan Hill,hilljo01,HOU
C.J. Watson,watsocj01,CHI
Thabo Sefolosha,sefolth01,OKC
Nate Robinson,robinna01,2TM
Nate Robinson,robinna01,BOS
Nate Robinson,robinna01,OKC
DontÃ© Greene,greendo01,SAC
Chris Kaman,kamanch01,LAC
Drew Gooden,goodedr01,MIL
Antonio McDyess,mcdyean01,SAS
Gordon Hayward,haywago01,UTA
DeShawn Stevenson,stevede01,DAL
Brad Miller,millebr01,HOU
Vladimir RadmanoviÄ,radmavl01,GSW
Ryan Hollins,holliry01,CLE
Eddie House,houseed01,MIA
