Team,R1_Wins,R1_Losses,R2_Wins,R2_Losses,R3_Wins,R3_Losses,R4_Wins,R4_Losses
Milwaukee Bucks,4,0,4,3,4,2,4,2
Phoenix Suns,4,2,4,0,4,2,2,4
Atlanta Hawks,4,1,4,3,2,4,0,0
Los Angeles Clippers,4,3,4,2,2,4,0,0
Philadelphia 76ers,4,1,3,4,0,0,0,0
Brooklyn Nets,4,1,3,4,0,0,0,0
Utah Jazz,4,1,2,4,0,0,0,0
Denver Nuggets,4,2,0,4,0,0,0,0
New York Knicks,1,4,0,0,0,0,0,0
Boston Celtics,1,4,0,0,0,0,0,0
Miami Heat,0,4,0,0,0,0,0,0
Washington Wizards,1,4,0,0,0,0,0,0
Portland Trail Blazers,2,4,0,0,0,0,0,0
Dallas Mavericks,3,4,0,0,0,0,0,0
Los Angeles Lakers,2,4,0,0,0,0,0,0
Memphis Grizzlies,1,4,0,0,0,0,0,0
