Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Jo Jo White,30,PG,9,395,14.6,.487,.164,2.6,7.3,4.9,21.0,1.6,0.0,0.4,0.4,0.8,.095,1.7,-0.3,1.4,0.3,
2,Dave Cowens,28,C,9,379,14.5,.472,.149,7.7,27.5,17.7,13.9,0.9,1.8,0.2,0.6,0.8,.101,1.3,1.2,2.5,0.4,
3,John Havlicek,36,SF,9,375,12.6,.437,.299,4.0,9.0,6.5,23.9,1.0,0.6,0.0,0.3,0.3,.038,0.3,-0.9,-0.5,0.1,
4,Charlie Scott,28,SG,9,338,12.6,.490,.406,4.5,6.7,5.6,16.0,1.7,0.3,0.2,0.3,0.5,.077,-0.3,0.1,-0.2,0.2,
5,Sidney Wicks,27,PF,9,261,16.8,.580,.580,10.1,21.6,15.9,8.8,2.2,0.6,0.5,0.4,0.9,.165,1.8,1.2,3.1,0.3,
6,Curtis Rowe,27,PF,9,237,12.5,.532,.426,12.4,18.0,15.2,5.8,0.2,0.9,0.3,0.2,0.6,.114,0.7,-0.9,-0.2,0.1,
7,Tom Boswell,23,PF,9,81,8.7,.484,.333,12.5,12.2,12.4,11.4,0.6,0.0,0.0,0.1,0.1,.047,-2.7,-0.4,-3.2,0.0,
8,Fred Saunders,25,SF,9,66,5.8,.407,.182,1.5,12.0,6.8,11.2,0.7,0.0,-0.2,0.1,-0.1,-0.073,-8.3,-1.3,-9.6,-0.1,
9,Kevin Stacom,25,SG,5,25,9.1,.543,.167,0.0,7.9,4.0,21.7,0.0,0.0,0.0,0.0,0.0,.048,-1.5,-0.3,-1.8,0.0,
10,Norm Cook,21,SF,1,3,41.0,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.475,22.1,4.9,27.0,0.0,
