Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Jo Jo White,30,PG,82,82,3333,14.9,.486,.257,2.6,8.6,5.6,21.7,1.6,0.3,3.2,3.4,6.5,.094,0.3,0.1,0.4,2.0,"MVP-11,AS,NBA2"
2,John Havlicek,36,SF,79,,2913,14.7,.495,.224,3.7,9.1,6.4,20.4,1.3,0.3,3.3,2.8,6.1,.100,0.5,0.0,0.6,1.9,AS
3,Sidney Wicks,27,PF,82,,2642,15.4,.509,.458,10.1,20.5,15.3,9.2,1.1,1.2,2.2,3.8,6.1,.110,-0.3,0.3,-0.1,1.3,
4,Curtis Rowe,27,PF,79,,2190,12.6,.542,.380,8.5,16.7,12.6,6.7,0.5,1.1,2.7,2.5,5.2,.114,-0.3,0.1,-0.2,1.0,
5,Dave Cowens,28,C,50,,1888,16.8,.485,.262,7.7,28.3,18.1,18.8,1.1,1.3,1.1,3.3,4.4,.113,0.8,1.7,2.6,2.2,AS
6,Charlie Scott,28,SG,43,,1581,14.1,.482,.236,3.3,8.6,5.9,18.6,1.7,0.4,0.8,1.7,2.5,.075,-0.7,0.3,-0.4,0.6,
7,Tom Boswell,23,PF,70,,1083,13.6,.558,.397,10.2,17.5,13.9,11.0,1.1,0.4,1.0,1.4,2.4,.107,-2.2,0.6,-1.7,0.1,
8,Fred Saunders,25,SF,68,,1051,10.9,.482,.134,6.9,13.9,10.4,11.6,1.1,0.3,0.0,1.2,1.2,.054,-2.9,0.2,-2.7,-0.2,
9,Kevin Stacom,25,SG,79,,1051,10.1,.436,.132,3.8,5.3,4.5,15.8,0.8,0.1,-0.1,0.7,0.6,.027,-1.8,-1.0,-2.7,-0.2,
10,Jim Ard,28,C,63,,969,9.1,.419,.299,7.9,22.0,15.0,7.1,0.8,1.4,-0.6,1.4,0.8,.039,-3.4,0.8,-2.6,-0.1,
11,Steve Kuberski,29,SF,76,,860,10.7,.466,.266,8.8,15.0,11.9,6.3,0.4,0.3,0.3,0.8,1.1,.061,-1.8,-1.0,-2.8,-0.2,
12,Norm Cook,21,SF,25,,138,10.3,.396,.236,7.2,12.0,9.6,5.3,3.2,1.1,-0.3,0.2,-0.1,-0.023,-4.9,0.5,-4.4,-0.1,
13,Bobby Wilson,26,SG,25,,131,6.8,.379,.220,2.3,4.5,3.4,14.7,1.0,0.0,-0.2,0.1,-0.1,-0.055,-5.1,-0.8,-6.0,-0.2,
