Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Randy Smith,28,SG,82,3094,17.6,.507,.257,4.3,10.6,7.4,22.8,2.5,0.1,3.9,2.5,6.4,.099,1.0,0.1,1.1,2.4,
2,Adrian Dantley,21,SF,77,2816,18.3,.601,.556,8.9,12.1,10.5,7.7,1.4,0.3,8.2,1.6,9.8,.167,2.7,-1.1,1.6,2.5,ROY-1
3,John Shumate,24,PF,74,2601,15.9,.554,.556,6.3,21.0,13.6,8.8,1.5,1.6,3.5,2.8,6.3,.117,0.6,0.4,1.0,2.0,
4,Ernie DiGregorio,26,PG,81,2267,12.1,.462,.167,2.3,5.9,4.1,24.1,1.1,0.1,0.7,0.5,1.3,.027,-1.3,-1.8,-3.1,-0.6,
5,Don Adams,29,SF,77,1710,11.7,.466,.329,7.6,14.3,10.9,12.1,1.9,0.5,0.2,1.4,1.6,.046,-1.8,0.0,-1.8,0.1,
6,John Gianelli,26,C,57,1283,10.8,.461,.194,7.3,16.0,11.7,6.2,0.7,2.7,0.2,1.0,1.2,.046,-1.8,-0.2,-2.0,0.0,
7,Bird Averitt,24,SG,75,1136,11.2,.425,.273,1.8,5.2,3.5,18.2,1.2,0.2,-1.4,0.3,-1.1,-0.046,-3.6,-2.7,-6.3,-1.2,
8,George Johnson,28,C,39,1055,14.3,.480,.240,11.1,27.2,19.1,10.1,0.9,4.9,0.3,1.6,1.9,.086,-1.3,1.9,0.6,0.7,
9,Bob McAdoo,25,C,20,767,19.9,.505,.395,8.6,26.2,17.4,13.8,0.9,2.2,0.7,0.9,1.7,.104,1.4,-0.3,1.2,0.6,AS
10,Fred Foster,30,SF,59,689,7.7,.428,.178,4.8,6.3,5.6,9.8,1.0,0.0,-0.4,0.2,-0.2,-0.017,-4.2,-1.7,-5.9,-0.7,
11,Gus Gerard,23,SF,41,592,12.4,.443,.250,8.6,11.3,10.0,10.6,1.7,2.7,-0.3,0.5,0.2,.019,-2.6,0.1,-2.5,-0.1,
12,Chuck Williams,30,PG,44,556,10.4,.449,.410,3.2,8.9,6.1,20.4,1.9,0.3,0.0,0.3,0.4,.032,-2.0,0.2,-1.8,0.0,
13,Jim Price,27,PG,20,333,10.8,.465,.192,1.5,8.8,5.1,15.8,3.4,0.7,-0.1,0.3,0.2,.032,-4.0,1.8,-2.2,0.0,
14,Claude Terry,27,SG,33,304,11.6,.508,.221,1.3,8.0,4.6,15.7,1.6,0.0,0.2,0.1,0.3,.055,-2.2,-0.3,-2.6,0.0,
15,Tom McMillen,24,C,20,270,13.9,.538,.391,10.8,16.2,13.4,8.6,0.2,0.4,0.4,0.1,0.5,.088,-0.7,-1.6,-2.3,0.0,
16,Zaid Abdul-Aziz,30,C,22,195,16.3,.447,.581,21.1,25.5,23.3,5.0,0.7,2.3,0.1,0.2,0.3,.078,-1.6,-1.8,-3.3,-0.1,
17,Johnny Neumann,25,SG,4,49,19.8,.478,.176,10.2,8.3,9.3,14.9,2.7,2.0,0.0,0.0,0.1,.084,-2.4,0.0,-2.3,0.0,
18,Clyde Mayes,23,PF,2,7,-1.7,.231,1.000,0.0,43.5,21.6,0.0,0.0,0.0,-0.1,0.0,0.0,-0.315,-5.2,-0.2,-5.4,0.0,
19,Moses Malone,21,C,2,6,-0.3,,,0.0,16.9,8.4,0.0,0.0,0.0,0.0,0.0,0.0,.019,-4.7,-0.1,-4.7,0.0,MVP-6
