Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Norm Van Lier,29,PG,3,134,10.1,.329,.632,4.2,9.8,6.8,30.3,3.5,0.4,-0.3,0.2,-0.1,-0.036,-2.7,1.5,-1.2,0.0,
2,Artis Gilmore,27,C,3,126,18.3,.559,.575,13.4,24.9,18.7,8.1,1.1,3.7,0.2,0.2,0.3,.129,2.3,-0.2,2.2,0.1,
3,Mickey Johnson,24,PF,3,124,21.0,.519,.222,12.7,26.4,19.0,12.2,1.9,0.9,0.1,0.2,0.3,.113,2.9,-1.1,1.8,0.1,
4,Scott May,22,SF,3,97,12.1,.491,.577,7.0,10.8,8.7,4.9,3.9,1.2,0.0,0.2,0.1,.057,-1.2,1.2,0.1,0.1,
5,Wilbur Holland,25,SG,3,84,14.3,.573,.294,6.7,6.2,6.5,6.7,0.6,0.0,0.2,0.0,0.2,.108,0.4,-1.9,-1.6,0.0,
6,John Mengelt,27,SG,3,67,19.5,.616,.423,0.0,7.8,3.6,22.7,2.8,0.0,0.2,0.1,0.2,.178,3.6,1.1,4.6,0.1,
7,Jack Marin,32,SF,3,53,6.7,.595,.077,0.0,2.5,1.1,6.4,0.0,0.0,0.1,0.0,0.1,.061,-2.1,-1.9,-4.1,0.0,
8,Tom Boerwinkle,31,C,3,17,18.1,.200,.000,13.2,61.6,35.6,60.8,0.0,3.4,-0.1,0.0,-0.1,-0.165,1.6,4.7,6.3,0.0,
9,Cliff Pondexter,22,PF,3,12,9.0,.532,2.000,0.0,32.7,15.1,11.3,0.0,0.0,0.0,0.0,0.0,.025,-0.9,-0.3,-1.2,0.0,
10,Phil Hicks,24,SF,1,4,-3.9,.000,.000,28.1,65.5,45.4,0.0,0.0,0.0,-0.1,0.0,0.0,-0.589,-16.4,-8.2,-24.7,0.0,
11,Tom Kropp,23,SG,1,2,-13.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.643,-29.8,-1.7,-31.5,0.0,
