Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Jim Brewer,25,PF,3,113,10.1,.419,.037,8.3,23.8,15.1,5.8,1.6,2.1,0.0,0.2,0.3,.109,-0.6,1.2,0.6,0.1,
2,Campy Russell,25,SF,3,100,15.4,.437,.278,8.5,17.2,12.4,15.5,1.4,0.6,0.0,0.2,0.2,.094,2.3,-0.5,1.8,0.1,
3,Jim Chones,27,C,3,99,15.1,.648,.259,9.5,21.7,14.9,4.4,0.0,0.6,0.3,0.1,0.4,.213,3.0,-0.9,2.2,0.1,
4,Foots Walker,25,PG,3,95,18.2,.539,.405,3.6,9.0,6.0,31.7,1.9,0.6,0.2,0.2,0.3,.170,2.9,0.7,3.6,0.1,
5,Austin Carr,28,SG,3,83,4.3,.285,.077,4.1,7.8,5.7,16.7,1.1,0.7,-0.3,0.1,-0.2,-0.092,-5.6,-1.6,-7.2,-0.1,
6,Bingo Smith,30,SF,3,57,3.9,.260,.077,4.5,9.4,6.7,10.1,2.4,1.0,-0.3,0.1,-0.2,-0.162,-5.6,-2.1,-7.7,-0.1,
7,Elmore Smith,27,C,3,56,25.6,.561,.242,9.1,34.5,20.4,3.4,4.1,3.1,0.1,0.2,0.3,.281,5.7,3.4,9.1,0.2,
8,Dick Snyder,32,SG,3,53,4.8,.308,.185,3.2,6.1,4.5,10.7,0.9,2.2,-0.2,0.1,-0.1,-0.078,-4.3,-1.7,-6.0,-0.1,
9,Gary Brokaw,23,SG,3,44,16.9,.462,.316,5.8,2.4,4.3,42.0,2.1,1.3,0.0,0.1,0.1,.085,3.0,0.8,3.7,0.1,
10,John Lambert,24,PF,3,19,8.6,.500,.000,9.0,5.7,7.5,0.0,4.8,0.0,0.0,0.0,0.0,.107,-3.0,1.5,-1.5,0.0,
11,Nate Thurmond,35,C,1,1,37.5,,,0.0,100.0,47.5,0.0,0.0,58.1,0.0,0.0,0.0,.508,4.9,28.9,33.8,0.0,
