Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Jim Brewer,25,PF,81,2672,12.7,.469,.271,10.1,19.2,14.5,9.6,1.7,1.7,2.0,3.9,5.8,.105,0.1,1.2,1.3,2.2,
2,Austin Carr,28,SG,82,2409,15.3,.496,.219,4.9,5.2,5.1,14.3,1.1,0.2,3.9,1.4,5.3,.105,0.9,-1.3,-0.4,1.0,
3,Jim Chones,27,C,82,2378,14.8,.495,.218,8.6,21.2,14.7,6.4,0.6,1.8,2.9,3.0,5.9,.119,-0.2,-0.4,-0.6,0.8,
4,Bingo Smith,30,SF,81,2135,15.0,.478,.158,4.2,11.1,7.5,11.3,1.4,0.8,2.2,2.0,4.2,.095,0.2,-0.6,-0.3,0.9,
5,Campy Russell,25,SF,70,2109,17.3,.497,.369,6.7,13.7,10.1,13.5,1.6,0.6,3.2,2.3,5.5,.126,1.4,-0.3,1.1,1.7,
6,Jim Cleamons,27,PG,60,2045,12.9,.476,.250,4.8,8.9,6.8,20.2,1.5,0.6,2.0,1.8,3.8,.088,0.1,0.3,0.4,1.2,
7,Dick Snyder,32,SG,82,1685,13.3,.500,.215,2.7,6.4,4.5,13.9,1.3,1.0,2.2,1.2,3.4,.097,-0.4,-0.1,-0.6,0.6,
8,Foots Walker,25,PG,62,1216,16.0,.504,.330,4.4,9.1,6.7,28.1,3.2,0.2,1.5,1.6,3.0,.120,0.0,1.5,1.5,1.1,
9,Nate Thurmond,35,C,49,997,14.3,.458,.431,11.9,26.7,19.1,10.8,0.8,4.4,0.5,1.8,2.3,.113,-1.0,2.0,1.0,0.8,
10,Elmore Smith,27,C,36,675,17.6,.517,.425,9.0,26.3,17.4,2.8,1.1,6.0,0.7,1.4,2.0,.145,-0.7,2.0,1.3,0.6,
11,Gary Brokaw,23,SG,39,596,16.3,.511,.342,2.0,8.3,5.0,28.7,1.1,1.2,0.8,0.5,1.3,.101,0.5,-0.4,0.1,0.3,
12,John Lambert,24,PF,63,555,11.7,.460,.229,11.0,17.4,14.1,7.4,1.4,1.8,0.3,0.7,1.0,.087,-1.7,0.5,-1.2,0.1,
13,Rowland Garrett,26,SF,29,215,12.2,.477,.237,4.6,14.7,9.5,4.7,1.5,0.8,0.1,0.2,0.4,.079,-2.8,-0.2,-2.9,0.0,
14,Chuckie Williams,23,SG,22,65,8.8,.354,.255,4.5,1.6,3.1,16.4,0.7,0.0,-0.2,0.0,-0.2,-0.137,-4.8,-1.7,-6.5,-0.1,
15,Mo Howard,22,SG,9,28,26.3,.595,.400,7.0,11.3,9.1,30.4,1.7,3.9,0.1,0.0,0.1,.242,-3.0,0.6,-2.4,0.1,
