Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,David Thompson,22,SG,6,237,17.5,.513,.438,5.7,8.2,6.9,17.5,1.7,0.9,0.4,0.2,0.6,.120,3.3,-1.1,2.2,0.2,
2,Dan Issel,28,C,6,222,19.3,.570,.469,8.4,19.6,13.8,12.9,1.0,1.0,0.6,0.2,0.9,.185,4.6,-0.7,3.9,0.3,
3,Bobby Jones,25,PF,6,187,16.7,.504,.266,6.1,13.9,9.9,17.3,4.1,4.1,0.1,0.4,0.5,.135,2.0,3.9,5.9,0.4,
4,Ted McClain,30,SG,6,170,11.0,.444,.174,3.0,5.7,4.4,22.6,2.7,0.6,0.0,0.2,0.2,.065,0.6,0.8,1.4,0.1,
5,Jim Price,27,PG,6,158,10.7,.380,.151,3.9,12.4,8.0,22.8,3.4,0.3,-0.2,0.2,0.1,.024,-1.6,1.4,-0.3,0.1,
6,Paul Silas,33,PF,6,141,11.9,.471,.727,11.7,18.5,15.0,15.8,0.6,1.6,0.0,0.1,0.2,.057,-0.6,-0.3,-0.9,0.0,
7,Mack Calvin,29,PG,6,112,15.4,.588,.725,0.9,7.8,4.3,18.0,0.4,0.0,0.3,0.1,0.3,.135,1.1,-2.1,-1.0,0.0,
8,Willie Wise,29,SF,6,106,9.1,.433,.610,5.9,22.5,14.0,4.1,0.0,0.5,-0.1,0.1,0.0,-0.005,-3.7,-2.9,-6.6,-0.1,
9,Marvin Webster,24,C,6,96,16.0,.524,.231,15.1,29.4,22.1,4.6,0.9,6.3,0.1,0.2,0.3,.147,1.8,1.1,2.9,0.1,
10,Byron Beck,32,PF,5,29,5.6,.405,.222,7.1,15.0,11.0,4.8,0.0,0.0,0.0,0.0,0.0,-0.011,-3.9,-3.0,-6.9,0.0,
11,Monte Towe,23,PG,1,6,20.8,.667,.000,0.0,0.0,0.0,34.6,0.0,0.0,0.0,0.0,0.0,.273,8.2,-0.9,7.3,0.0,
12,Fatty Taylor,30,PG,1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.004,-2.3,-2.0,-4.3,0.0,
