Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,David Thompson,22,SG,82,82,3001,19.8,.559,.383,4.8,6.5,5.7,17.7,1.6,0.9,7.6,3.1,10.7,.172,3.1,-0.6,2.5,3.4,"MVP-7,AS,NBA1"
2,Dan Issel,28,C,79,,2507,21.2,.578,.435,8.8,19.3,14.2,11.0,1.6,0.6,7.1,3.8,10.9,.208,3.1,-0.4,2.7,3.0,AS
3,Bobby Jones,25,PF,82,82,2419,21.1,.605,.374,7.5,20.8,14.3,15.6,3.3,3.4,5.5,5.5,11.0,.219,3.3,3.6,7.0,5.5,AS
4,Ted McClain,30,SG,72,,2002,10.9,.483,.241,2.7,8.8,5.8,20.6,2.3,0.3,0.2,2.5,2.7,.065,-2.5,1.0,-1.5,0.3,
5,Paul Silas,33,PF,81,,1959,10.8,.425,.446,12.6,18.8,15.8,8.4,1.3,0.6,-0.2,2.8,2.5,.062,-1.7,-0.7,-2.4,-0.2,
6,Fatty Taylor,30,PG,79,,1548,11.1,.439,.207,6.1,7.8,7.0,22.6,3.7,0.3,-0.3,2.5,2.1,.066,-2.2,2.7,0.5,1.0,
7,Willie Wise,29,SF,75,,1403,13.3,.506,.425,5.7,12.6,9.2,13.7,1.8,0.7,0.7,1.9,2.5,.087,-1.3,0.1,-1.2,0.3,
8,Jim Price,27,PG,55,,1384,11.8,.478,.175,3.1,10.3,6.8,19.5,3.0,0.5,0.1,2.1,2.2,.076,-2.4,1.9,-0.5,0.5,
9,Marvin Webster,24,C,80,,1276,16.7,.542,.550,12.5,25.9,19.4,6.5,0.8,4.7,1.4,2.5,3.9,.146,0.0,1.0,0.9,1.0,
10,Mack Calvin,29,PG,29,,625,17.0,.560,.640,3.2,4.8,4.0,24.6,1.9,0.1,1.2,0.6,1.8,.140,0.9,-0.7,0.1,0.3,
11,Byron Beck,32,PF,53,,480,13.2,.471,.179,9.8,10.6,10.2,10.0,1.3,0.1,0.3,0.5,0.8,.078,-1.3,-1.7,-3.1,-0.1,
12,Gus Gerard,23,SF,24,,456,16.9,.511,.267,8.7,13.6,11.2,15.7,2.0,3.4,0.3,0.8,1.1,.115,-0.2,1.5,1.4,0.4,
13,Monte Towe,23,PG,51,,409,10.3,.436,.181,2.1,6.3,4.2,27.6,1.7,0.0,-0.3,0.4,0.1,.013,-3.7,-0.7,-4.5,-0.3,
14,Chuck Williams,30,PG,21,,311,9.8,.454,.419,2.7,8.3,5.6,17.8,1.1,0.0,0.0,0.3,0.3,.041,-2.7,-0.7,-3.4,-0.1,
