Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Bob Lanier,28,C,3,118,28.8,.674,.352,11.0,27.0,19.6,8.7,1.2,2.8,0.6,0.1,0.7,.294,7.0,1.9,8.9,0.3,
2,M.L. Carr,26,SF,3,112,8.0,.411,.226,8.0,6.2,7.0,7.0,0.4,1.3,0.0,-0.1,-0.1,-0.055,-3.0,-1.4,-4.3,-0.1,
3,Eric Money,21,PG,3,103,19.7,.553,.295,1.9,5.9,4.0,29.4,2.7,0.0,0.2,0.0,0.2,.096,1.2,0.9,2.0,0.1,
4,Chris Ford,28,SG,3,101,14.1,.427,.205,7.9,9.4,8.7,17.1,3.3,0.0,0.0,0.0,0.0,-0.017,-3.0,1.1,-1.9,0.0,
5,Howard Porter,28,PF,3,98,19.8,.615,.085,6.1,9.7,8.0,3.5,1.0,1.9,0.3,0.0,0.3,.144,3.5,0.1,3.7,0.1,
6,Kevin Porter,26,PG,3,61,12.4,.445,.643,1.6,7.1,4.6,35.1,0.8,0.0,0.0,0.0,-0.1,-0.048,-3.4,-1.9,-5.3,-0.1,
7,Leon Douglas,22,C,3,57,5.5,.311,.538,7.0,9.1,8.1,6.5,0.8,4.1,-0.2,0.0,-0.2,-0.148,-8.6,0.8,-7.8,-0.1,
8,Al Eberhard,24,SF,3,42,3.4,.280,.889,4.8,14.4,9.9,5.6,1.1,0.0,-0.1,0.0,-0.1,-0.170,-8.9,-1.6,-10.5,-0.1,
9,Ralph Simpson,27,SG,2,17,-10.3,.000,.000,5.9,10.1,8.2,6.7,0.0,0.0,-0.2,0.0,-0.2,-0.536,-17.1,-7.7,-24.9,-0.1,
10,Phil Sellers,23,SG,1,6,-1.2,.260,1.000,16.7,14.4,15.4,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.516,-20.4,-9.8,-30.2,0.0,
11,Roger Brown,26,C,2,5,0.0,.000,.000,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,-0.213,-7.3,0.8,-6.5,0.0,
