Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,M.L. Carr,26,SF,82,,2643,15.2,.518,.300,8.3,16.4,12.4,8.7,2.8,1.1,2.9,3.0,5.9,.107,0.4,0.7,1.1,2.1,
2,Chris Ford,28,SG,82,82,2539,14.6,.506,.185,3.9,7.1,5.5,17.0,3.1,0.5,2.8,2.0,4.7,.090,0.2,1.0,1.2,2.1,
3,Bob Lanier,28,C,64,,2446,23.0,.573,.251,8.5,23.1,15.8,12.9,1.3,2.7,7.5,2.8,10.3,.203,5.1,0.3,5.4,4.6,"MVP-4,AS"
4,Howard Porter,28,PF,78,,2200,13.6,.509,.125,7.3,14.3,10.8,3.2,1.0,1.7,2.7,1.4,4.1,.089,0.1,-1.4,-1.3,0.4,
5,Kevin Porter,26,PG,81,,2117,14.7,.540,.220,1.4,3.4,2.4,34.6,1.8,0.2,2.1,0.6,2.7,.062,0.1,-1.8,-1.7,0.2,
6,Leon Douglas,22,C,82,,1626,13.3,.503,.447,11.5,22.0,16.8,5.2,1.2,2.6,0.3,1.8,2.1,.063,-2.4,-0.5,-2.9,-0.4,
7,Ralph Simpson,27,SG,77,,1597,14.4,.462,.234,3.1,8.6,5.9,15.4,1.9,0.2,0.4,0.8,1.2,.037,-0.6,-1.5,-2.1,0.0,
8,Eric Money,21,PG,73,,1586,15.8,.549,.181,2.8,5.3,4.0,20.5,2.5,0.5,2.4,0.9,3.3,.099,0.2,0.0,0.2,0.9,
9,Al Eberhard,24,SF,68,,1219,11.5,.534,.363,6.5,12.3,9.4,5.1,1.6,0.6,1.0,0.8,1.8,.069,-2.1,-0.6,-2.7,-0.2,
10,Marvin Barnes,24,PF,53,,989,15.0,.490,.345,7.2,19.3,13.3,6.1,1.7,1.7,0.3,1.0,1.3,.063,-1.5,-0.7,-2.3,-0.1,
11,Phil Sellers,23,SG,44,,329,14.0,.447,.379,6.0,6.9,6.5,10.4,3.0,0.0,-0.3,0.2,0.0,-0.007,-3.7,-1.2,-5.0,-0.3,
12,Roger Brown,26,C,43,,322,8.7,.445,.464,10.0,19.0,14.5,4.2,2.1,2.9,-0.2,0.4,0.2,.029,-4.2,1.0,-3.3,-0.1,
13,George Trapp,28,PF,6,,68,11.5,.536,.138,6.1,9.1,7.6,6.0,0.0,0.8,0.1,0.0,0.1,.062,-3.1,-0.8,-3.9,0.0,
14,Cornelius Cash,24,PF,6,,49,12.0,.410,.261,16.9,16.9,16.9,2.6,1.8,1.1,-0.1,0.0,0.0,-0.010,-3.8,-0.8,-4.6,-0.1,
