Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Rick Barry,32,SF,10,415,20.4,.505,.168,5.6,8.3,6.9,18.3,1.9,0.9,1.1,0.3,1.4,.166,4.7,0.0,4.8,0.7,
2,Phil Smith,24,SG,10,371,13.1,.468,.341,2.5,11.0,6.5,15.8,1.8,0.6,0.3,0.3,0.6,.073,0.1,0.3,0.4,0.2,
3,Jamaal Wilkes,23,PF,10,346,14.2,.466,.182,4.8,18.2,11.2,6.4,2.2,0.9,0.3,0.4,0.7,.099,0.5,0.5,1.0,0.3,
4,Clifford Ray,28,C,10,304,15.6,.566,.368,16.5,20.4,18.3,6.4,0.6,1.6,0.6,0.3,0.9,.148,2.0,-0.8,1.3,0.3,
5,Robert Parish,23,C,10,239,19.3,.507,.241,16.7,25.5,20.9,6.6,1.4,2.5,0.4,0.4,0.7,.150,1.2,-0.5,0.7,0.2,
6,Charles Dudley,26,PG,10,236,13.1,.435,.622,6.7,9.0,7.8,34.1,1.4,0.0,0.0,0.1,0.2,.039,0.2,0.1,0.3,0.1,
7,Gus Williams,23,PG,10,184,15.8,.555,.300,4.5,3.3,4.0,18.8,2.0,0.3,0.4,0.1,0.5,.130,0.7,0.3,1.1,0.1,
8,Charles Johnson,27,PG,10,161,9.5,.419,.108,2.9,6.3,4.5,5.9,2.3,0.3,0.0,0.1,0.1,.021,-2.8,-0.1,-3.0,0.0,
9,Sonny Parker,21,SF,10,120,14.9,.556,.111,6.9,16.1,11.3,9.9,1.9,0.9,0.2,0.1,0.4,.144,2.3,1.3,3.6,0.2,
10,Larry McNeill,26,PF,6,21,23.5,.680,.400,8.8,0.0,4.6,0.0,2.2,0.0,0.1,0.0,0.1,.241,6.9,-0.2,6.7,0.0,
11,Marshall Rogers,23,PG,1,3,10.4,.347,1.000,0.0,33.9,16.2,0.0,0.0,0.0,0.0,0.0,0.0,.082,-9.6,-6.1,-15.7,0.0,
