Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Rick Barry,32,SF,79,,2904,19.3,.500,.253,2.5,12.2,7.3,23.2,2.6,1.0,5.1,3.3,8.4,.139,2.4,0.5,2.9,3.6,AS
2,Phil Smith,24,SG,82,82,2880,16.1,.525,.285,3.5,8.1,5.8,15.8,1.5,0.5,5.2,1.8,7.0,.117,1.2,-1.0,0.2,1.6,AS
3,Jamaal Wilkes,23,PF,76,,2579,16.8,.523,.270,6.0,16.7,11.3,11.2,2.2,0.3,4.3,2.9,7.3,.135,1.2,-0.2,1.0,2.0,
4,Clifford Ray,28,C,77,,2018,14.1,.587,.442,9.9,20.9,15.4,6.8,1.6,2.1,3.0,2.7,5.7,.136,0.3,0.7,1.0,1.5,
5,Gus Williams,23,PG,82,,1930,14.2,.497,.214,3.7,8.5,6.1,19.6,2.8,0.5,1.6,1.9,3.6,.088,-0.7,0.7,0.0,1.0,
6,Charles Dudley,26,PG,79,,1682,15.7,.557,.482,7.1,10.7,8.9,25.5,1.8,0.2,2.7,1.3,4.0,.115,1.3,-0.1,1.2,1.3,
7,Robert Parish,23,C,77,,1384,19.3,.538,.298,14.6,25.1,19.8,7.3,1.8,3.5,2.5,2.3,4.8,.167,0.7,0.3,1.0,1.1,
8,Charles Johnson,27,PG,79,,1196,12.6,.456,.118,4.2,7.7,6.0,10.4,2.9,0.3,0.3,1.2,1.4,.056,-2.1,0.0,-2.1,0.0,
9,Sonny Parker,21,SF,65,,889,16.4,.570,.315,9.6,10.1,9.8,8.6,2.7,1.5,2.0,1.0,3.0,.160,2.3,0.7,3.1,1.1,
10,Derrek Dickey,25,PF,49,,856,14.0,.485,.177,11.7,16.6,14.2,9.7,1.0,0.7,0.9,0.8,1.7,.093,-0.2,-1.4,-1.6,0.1,
11,George Johnson,28,C,39,,597,14.5,.522,.207,14.6,21.1,17.8,5.3,1.1,6.4,0.7,1.0,1.6,.131,-1.1,1.8,0.7,0.4,
12,Dwight Davis,27,PF,33,,552,8.6,.511,.581,6.2,11.2,8.7,6.2,0.9,0.8,0.2,0.4,0.6,.049,-3.4,-0.8,-4.1,-0.3,
13,Marshall Rogers,23,PG,26,,176,9.8,.408,.129,3.4,2.9,3.2,8.2,2.0,0.9,-0.3,0.1,-0.2,-0.043,-5.3,-1.6,-6.9,-0.3,
14,Larry McNeill,26,PF,16,,137,20.6,.576,.508,13.2,23.0,18.1,3.0,2.0,0.4,0.4,0.2,0.6,.214,-0.5,-0.8,-1.4,0.1,
