Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Moses Malone,21,C,12,518,18.5,.557,.562,17.6,25.8,21.7,1.7,1.2,2.2,1.3,0.4,1.7,.160,2.4,-0.6,1.8,0.5,
2,Rudy Tomjanovich,28,PF,12,457,15.4,.532,.175,5.7,10.1,7.9,7.4,0.7,0.4,1.1,0.0,1.1,.115,1.6,-0.9,0.6,0.3,
3,John Lucas,23,SG,12,430,17.3,.572,.245,1.0,7.6,4.2,25.1,2.6,0.5,1.0,0.1,1.2,.129,1.8,1.6,3.4,0.6,
4,Calvin Murphy,28,PG,12,420,17.7,.513,.141,1.8,3.2,2.5,25.4,2.1,0.3,1.0,0.0,1.0,.113,1.4,-0.1,1.3,0.4,
5,Kevin Kunnert,25,C,12,328,13.1,.499,.221,15.9,20.2,18.0,5.4,0.3,1.3,0.4,0.1,0.5,.074,-1.0,-1.0,-2.0,0.0,
6,Mike Newlin,28,SG,12,316,18.8,.550,.196,2.8,9.2,5.9,23.7,2.2,0.0,0.8,0.1,0.9,.138,1.9,1.0,3.0,0.4,
7,Dwight Jones,24,PF,12,246,11.0,.506,.365,5.7,17.4,11.5,7.3,1.5,0.7,0.2,0.1,0.3,.060,-1.7,1.1,-0.6,0.1,
8,John Johnson,29,SF,12,146,10.4,.429,.246,5.2,16.9,11.0,7.9,1.3,0.0,0.0,0.0,0.0,.004,-3.8,-0.6,-4.4,-0.1,
9,Goo Kennedy,27,SF,6,35,11.5,.551,.200,12.4,25.7,19.0,0.0,0.0,0.0,0.1,0.0,0.1,.093,-1.9,-1.2,-3.1,0.0,
10,Tom Owens,27,C,3,7,3.3,.000,.000,0.0,32.1,15.8,0.0,6.7,0.0,0.0,0.0,0.0,-0.010,-6.4,2.9,-3.5,0.0,
11,Rudy White,23,SG,1,2,39.8,.333,.000,54.4,0.0,27.6,0.0,23.6,0.0,0.0,0.0,0.0,.264,7.1,11.0,18.1,0.0,
