Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Rudy Tomjanovich,28,PF,81,3130,17.9,.552,.238,6.2,17.2,11.9,8.3,0.9,0.5,8.8,1.5,10.4,.159,3.2,-1.5,1.7,2.9,AS
2,Calvin Murphy,28,PG,82,2764,17.4,.542,.252,2.2,4.5,3.4,20.6,2.5,0.2,6.6,1.1,7.7,.134,1.6,-0.5,1.1,2.2,
3,John Lucas,23,SG,82,2531,15.0,.512,.210,2.5,6.8,4.7,24.7,2.3,0.4,3.6,1.2,4.8,.091,1.1,-0.2,0.9,1.9,ROY-2
4,Moses Malone,21,C,80,2500,19.8,.540,.543,19.8,26.7,23.4,4.8,1.3,3.9,5.4,3.3,8.7,.168,2.4,-0.5,1.9,2.5,MVP-6
5,Mike Newlin,28,SG,82,2119,16.1,.530,.358,2.8,7.5,5.3,21.2,1.3,0.1,4.2,0.4,4.7,.106,1.0,-1.5,-0.5,0.8,
6,Kevin Kunnert,25,C,81,2050,14.8,.513,.184,11.6,23.6,17.8,10.3,0.8,2.8,2.1,2.0,4.1,.097,-0.7,0.3,-0.4,0.8,
7,John Johnson,29,SF,79,1738,13.0,.485,.190,4.9,11.6,8.4,13.2,1.3,0.7,1.6,0.7,2.3,.064,-0.2,-0.9,-1.2,0.4,
8,Dwight Jones,24,PF,74,1239,12.7,.553,.373,9.0,15.8,12.5,5.1,1.5,0.8,1.8,0.8,2.6,.102,-0.5,-0.5,-0.9,0.3,
9,Ed Ratleff,26,SF,37,533,10.8,.462,.261,5.1,10.5,7.9,10.6,1.8,0.6,0.2,0.3,0.5,.044,-0.7,-0.3,-0.9,0.1,
10,Tom Owens,27,C,46,462,13.8,.558,.563,11.5,21.7,16.8,5.2,0.4,1.5,0.6,0.3,0.9,.094,-2.0,-1.2,-3.1,-0.1,
11,Rudy White,23,SG,46,368,9.6,.466,.236,4.0,8.0,6.1,12.4,1.4,0.1,0.1,0.1,0.2,.025,-1.9,-0.7,-2.6,-0.1,
12,Goo Kennedy,27,SF,32,277,7.8,.528,.138,5.7,14.1,10.1,2.8,1.2,1.0,0.1,0.1,0.3,.045,-2.6,0.0,-2.7,0.0,
13,Dave Wohl,27,PG,14,62,9.2,.480,.235,1.8,6.8,4.4,31.0,0.0,0.0,0.0,0.0,0.0,-0.031,-4.6,-0.8,-5.4,-0.1,
14,Phil Hicks,24,SF,2,7,3.5,.000,.000,16.2,0.0,7.8,16.0,6.8,0.0,0.0,0.0,0.0,-0.256,-4.6,0.0,-4.5,0.0,
