Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Billy Knight,24,SF,78,3117,20.1,.543,.300,6.8,11.5,9.1,13.4,1.7,0.3,8.8,1.9,10.7,.164,3.9,-1.3,2.7,3.7,AS
2,Don Buse,26,PG,81,2947,14.1,.460,.227,2.1,6.9,4.4,29.0,4.3,0.3,1.5,3.1,4.7,.076,-0.3,1.9,1.6,2.7,AS
3,Wil Jones,29,PF,80,2709,12.7,.466,.219,7.6,14.2,10.8,9.6,1.7,1.5,1.5,2.3,3.7,.066,-1.0,-0.4,-1.4,0.4,
4,Darnell Hillman,27,C,82,2302,14.1,.479,.301,9.4,20.1,14.6,9.8,1.8,2.4,1.0,2.8,3.8,.079,-1.6,0.3,-1.3,0.4,
5,Dave Robisch,27,C,80,1966,16.5,.515,.316,8.2,19.4,13.7,11.4,1.3,1.0,3.2,1.8,5.0,.122,1.2,-0.9,0.3,1.1,
6,Dan Roundfield,23,PF,61,1645,17.6,.505,.326,10.3,20.6,15.3,6.1,1.7,4.1,1.7,2.2,3.9,.115,-0.5,0.1,-0.4,0.7,
7,Mike Flynn,23,SG,73,1324,14.5,.473,.248,5.4,8.4,6.9,19.2,1.9,0.2,1.0,0.7,1.7,.062,0.0,-1.1,-1.1,0.3,
8,John Williamson,25,SG,30,1055,16.0,.518,.230,1.6,5.3,3.4,16.3,2.0,0.3,1.6,0.5,2.1,.095,0.3,-0.9,-0.7,0.4,
9,Steve Green,23,SF,70,918,13.3,.475,.267,8.1,10.6,9.4,7.2,2.2,0.7,0.4,0.7,1.1,.055,-2.2,-1.1,-3.3,-0.3,
10,Mel Bennett,22,PF,67,911,11.5,.417,.636,11.4,13.9,12.6,9.8,1.8,1.9,-0.7,0.8,0.1,.005,-3.6,-0.7,-4.4,-0.5,
11,Freddie Lewis,33,PG,32,552,11.3,.481,.387,2.9,5.4,4.1,13.6,1.5,0.2,0.4,0.2,0.5,.047,-2.3,-1.4,-3.7,-0.2,
12,Jerome Anderson,23,SG,27,164,10.1,.487,.339,5.2,1.8,3.6,8.3,1.6,0.6,0.1,0.0,0.1,.027,-3.4,-0.8,-4.2,-0.1,
13,Len Elmore,24,C,6,46,12.8,.469,.294,14.4,17.3,15.8,5.9,0.0,4.5,0.0,0.0,0.0,.039,-4.0,-0.3,-4.3,0.0,
14,Darrell Elston,24,SG,5,40,-1.6,.168,.143,2.4,12.5,7.3,5.9,1.1,0.0,-0.2,0.0,-0.2,-0.218,-5.6,-0.7,-6.3,-0.1,
15,Rudy Hackett,23,PF,5,38,10.4,.502,1.125,7.5,18.4,12.8,9.7,0.0,1.4,0.0,0.0,0.0,.030,-4.0,-0.2,-4.3,0.0,
16,Clyde Mayes,23,PF,2,21,13.2,.400,.571,18.0,14.2,16.2,19.1,0.0,4.9,0.0,0.0,0.0,-0.041,-4.1,0.0,-4.1,0.0,
