Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Ron Boone,30,SG,82,82,3021,17.5,.521,.244,4.2,6.9,5.5,17.2,1.8,0.3,6.1,2.0,8.1,.128,2.0,-1.1,1.0,2.3,
2,Scott Wedman,24,SF,81,,2743,14.6,.504,.213,6.8,12.5,9.6,11.7,1.6,0.5,3.7,2.3,6.0,.104,0.9,-0.8,0.1,1.4,
3,Sam Lacey,28,C,82,,2595,15.8,.484,.364,7.3,22.6,14.7,19.3,2.1,2.8,1.6,4.0,5.6,.104,0.6,2.2,2.7,3.1,
4,Brian Taylor,25,PG,72,,2488,17.6,.550,.276,3.5,6.5,5.0,18.5,3.6,0.4,5.1,2.8,7.9,.152,1.5,1.5,3.0,3.1,
5,Richard Washington,21,PF,82,,2265,14.2,.467,.246,8.9,23.6,16.0,5.4,1.3,2.2,0.3,3.0,3.2,.068,-2.0,-1.1,-3.1,-0.6,
6,Bill Robinzine,24,PF,75,,1594,15.6,.501,.319,10.3,20.9,15.4,8.5,2.4,0.4,1.3,2.2,3.4,.104,-1.2,-0.3,-1.6,0.2,
7,Ollie Johnson,27,SF,81,,1386,12.6,.541,.258,4.9,11.2,7.9,10.2,1.4,0.8,1.9,1.1,2.9,.102,-0.4,-0.4,-0.7,0.4,
8,Jim Eakins,30,C,82,,1338,14.6,.565,.661,8.4,20.0,14.0,11.3,1.0,2.0,2.1,1.5,3.6,.128,-0.4,0.4,0.0,0.7,
9,Mike Barr,26,SG,73,,1224,10.3,.469,.204,2.7,8.5,5.5,17.9,1.9,0.8,0.4,1.0,1.4,.054,-1.3,0.5,-0.7,0.4,
10,Andre McCarter,23,PG,59,,725,11.6,.488,.175,2.2,5.8,3.9,18.6,1.4,0.0,0.5,0.4,0.8,.055,-1.3,-1.2,-2.5,-0.1,
11,Glenn Hansen,24,SG,41,,289,15.3,.464,.206,9.7,11.5,10.6,13.0,2.0,0.6,0.1,0.3,0.4,.063,-1.1,-1.1,-2.2,0.0,
12,Bob Bigelow,23,SF,29,,162,14.7,.549,.243,4.9,12.6,8.6,7.2,0.8,0.3,0.3,0.1,0.4,.117,-1.1,-1.0,-2.0,0.0,
