Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kareem Abdul-Jabbar,29,C,11,467,32.4,.646,.496,11.4,31.5,21.6,18.1,1.9,4.2,2.3,0.9,3.2,.332,9.6,2.6,12.2,1.7,
2,Don Chaney,30,SG,11,412,9.6,.416,.229,6.1,6.9,6.5,15.3,2.4,0.4,0.0,0.3,0.2,.028,-1.1,0.0,-1.1,0.1,
3,Cazzie Russell,32,SF,11,382,13.2,.486,.318,6.0,7.0,6.5,9.6,1.9,0.1,0.3,0.2,0.5,.068,-0.3,-1.6,-1.9,0.0,
4,Earl Tatum,23,SG,11,356,14.0,.519,.179,4.7,10.9,7.8,11.5,2.0,1.3,0.3,0.3,0.6,.086,0.7,-0.2,0.5,0.2,
5,Don Ford,24,PF,11,333,13.4,.488,.367,6.9,11.0,9.0,15.4,2.4,0.6,0.2,0.3,0.5,.071,0.6,-0.1,0.5,0.2,
6,Tom Abernethy,22,SF,11,214,12.4,.517,.540,5.9,13.4,9.7,13.7,1.5,0.5,0.2,0.2,0.3,.075,0.3,-0.5,-0.2,0.1,
7,Lucius Allen,29,PG,7,186,13.6,.426,.232,3.9,13.7,8.9,19.1,2.7,0.8,-0.1,0.2,0.1,.019,-1.9,0.1,-1.8,0.0,
8,Bo Lamar,25,PG,10,109,6.9,.363,.244,0.0,8.4,4.3,17.4,1.3,0.0,-0.2,0.0,-0.2,-0.079,-5.8,-2.4,-8.3,-0.2,
9,Johnny Neumann,25,SG,6,68,7.8,.390,.138,0.0,3.0,1.5,19.3,2.0,1.5,-0.1,0.0,-0.1,-0.076,-5.8,-1.0,-6.9,-0.1,
10,C.J. Kupec,24,SF,11,57,13.5,.498,.389,5.5,23.3,14.5,9.9,2.4,0.0,0.0,0.1,0.1,.071,-1.3,0.1,-1.2,0.0,
11,Cornell Warner,28,PF,5,56,9.1,.583,.000,3.7,12.8,8.3,14.8,0.8,0.0,0.0,0.0,0.1,.054,-2.6,0.2,-2.4,0.0,
