Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kareem Abdul-Jabbar,29,C,82,82,3016,27.8,.608,.350,9.2,27.2,18.4,16.8,1.5,4.4,11.9,5.9,17.8,.283,6.8,2.6,9.4,8.7,"MVP-1,AS,NBA1"
2,Cazzie Russell,32,SF,82,82,2583,15.3,.527,.186,3.5,8.0,5.8,11.6,1.5,0.1,4.9,1.7,6.6,.123,0.9,-1.0,-0.1,1.3,
3,Lucius Allen,29,PG,78,,2482,15.6,.497,.243,2.4,7.7,5.2,22.2,2.1,0.4,2.8,2.1,4.9,.094,0.3,-0.3,0.0,1.2,
4,Don Chaney,30,SG,81,,2408,10.2,.440,.180,5.2,8.7,7.0,15.3,2.7,0.7,0.4,2.6,2.9,.058,-1.7,1.5,-0.2,1.1,
5,Don Ford,24,PF,82,82,1782,11.7,.485,.179,6.1,13.9,10.1,9.6,1.5,0.6,1.0,1.8,2.8,.076,-1.2,-0.2,-1.4,0.3,
6,Tom Abernethy,22,SF,70,,1378,12.7,.538,.384,8.5,12.9,10.8,8.9,1.6,0.4,1.8,1.3,3.1,.110,0.0,-0.2,-0.3,0.6,
7,Kermit Washington,25,PF,53,,1342,16.0,.556,.492,14.1,23.0,18.7,4.6,1.5,2.0,2.2,2.1,4.3,.153,-0.2,-0.4,-0.6,0.5,
8,Earl Tatum,23,SG,68,,1249,16.5,.490,.165,6.9,12.2,9.6,13.5,3.1,0.9,0.9,1.7,2.6,.101,-0.2,0.8,0.6,0.8,
9,Bo Lamar,25,PG,71,,1165,12.8,.425,.121,2.7,5.3,4.0,20.8,2.3,0.1,-0.4,0.9,0.5,.021,-1.7,-1.0,-2.7,-0.2,
10,C.J. Kupec,24,SF,82,,908,12.7,.497,.295,8.7,13.5,11.2,7.7,0.9,0.2,0.8,0.7,1.5,.079,-1.6,-1.7,-3.2,-0.3,
11,Johnny Neumann,25,SG,59,,888,10.7,.434,.223,2.2,4.9,3.6,20.3,1.4,0.5,-0.6,0.5,-0.1,-0.005,-3.6,-1.5,-5.1,-0.7,
12,Marv Roberts,27,SF,28,,209,6.0,.369,.079,4.5,7.6,6.1,11.4,0.9,0.5,-0.3,0.1,-0.2,-0.051,-5.1,-1.2,-6.3,-0.3,
13,Mack Calvin,29,PG,12,,207,13.1,.461,.585,3.0,4.8,3.9,12.8,2.4,0.2,0.1,0.2,0.2,.052,-2.4,-0.6,-2.9,-0.1,
14,Cornell Warner,28,PF,14,,170,12.4,.485,.113,12.9,28.1,20.7,8.3,0.3,0.6,0.1,0.2,0.3,.091,-2.4,-0.8,-3.2,-0.1,
15,Allen Murphy,24,SG,2,,18,1.8,.309,1.400,17.4,5.5,11.3,0.0,0.0,0.0,-0.1,0.0,-0.1,-0.229,-5.0,-0.7,-5.7,-0.1,
