Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Walt Frazier,31,PG,76,67,2687,16.6,.535,.309,2.1,9.2,5.7,20.6,2.2,0.2,3.8,2.3,6.1,.108,0.8,0.1,0.9,2.0,
2,Earl Monroe,32,SG,77,76,2656,18.1,.569,.309,1.8,6.9,4.4,19.8,1.5,0.4,6.2,1.6,7.8,.141,2.3,-0.6,1.7,2.5,AS
3,Jim McMillian,28,SF,67,60,2158,9.9,.488,.134,3.3,11.5,7.5,8.2,1.3,0.1,1.1,1.5,2.6,.057,-0.9,-0.2,-1.1,0.5,
4,Lonnie Shelton,21,PF,82,57,2104,16.7,.511,.269,11.2,20.2,15.8,9.6,2.6,2.4,1.2,3.4,4.6,.105,-0.8,1.2,0.4,1.3,
5,Bob McAdoo,25,C,52,49,2031,22.6,.577,.343,7.0,26.8,17.1,10.6,1.3,1.7,5.0,2.9,7.9,.187,3.8,0.2,4.0,3.1,AS
6,Tom McMillen,24,C,56,22,1222,12.7,.518,.185,7.4,19.5,13.6,5.6,0.4,0.2,1.0,0.9,2.0,.077,-0.8,-1.6,-2.5,-0.2,
7,Butch Beard,29,PG,70,10,1082,13.4,.544,.372,4.9,10.7,7.9,16.9,2.3,0.2,0.9,1.0,2.0,.088,-0.9,1.0,0.1,0.6,
8,Phil Jackson,31,PF,76,2,1033,9.4,.484,.306,7.8,15.3,11.6,9.9,1.4,0.9,-0.1,1.0,0.9,.043,-2.9,0.6,-2.3,-0.1,
9,Bill Bradley,33,SF,67,5,1027,9.5,.492,.153,2.8,7.6,5.3,15.5,1.1,0.4,0.3,0.5,0.8,.038,-2.1,-0.3,-2.4,-0.1,
10,Spencer Haywood,27,PF,31,26,1021,15.6,.506,.292,8.1,20.4,14.4,6.7,0.6,1.5,1.1,1.0,2.1,.096,0.6,-1.2,-0.6,0.4,
11,Mo Layton,28,SG,56,11,765,14.5,.527,.264,1.5,4.8,3.2,26.8,1.2,0.4,0.7,0.4,1.1,.068,-0.2,-1.5,-1.6,0.1,
12,John Gianelli,26,C,19,15,630,12.9,.510,.264,10.2,19.3,14.8,5.2,1.0,2.3,0.6,0.7,1.3,.097,0.0,-0.2,-0.2,0.3,
13,Ticky Burden,23,SG,61,2,608,14.6,.446,.241,4.6,6.8,5.7,14.9,3.4,0.1,-0.7,0.7,0.0,-0.004,-3.1,0.0,-3.1,-0.2,
14,Mel Davis,26,PF,22,7,342,10.1,.421,.282,9.4,21.0,15.3,8.7,1.2,0.2,-0.3,0.4,0.1,.010,-2.9,-0.7,-3.7,-0.2,
15,Dean Meminger,28,SG,32,0,254,8.0,.466,.639,5.1,5.7,5.4,13.2,1.4,0.2,0.0,0.1,0.2,.032,-1.9,0.1,-1.8,0.0,
16,Neal Walk,28,C,11,1,135,12.6,.516,.123,4.0,16.8,10.5,6.2,1.3,1.2,0.1,0.1,0.2,.070,-2.6,-0.1,-2.7,0.0,
