Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Tim Bassett,25,PF,76,2442,10.5,.421,.240,6.9,20.4,13.3,6.7,1.8,1.2,-1.9,3.4,1.5,.029,-3.0,0.3,-2.7,-0.4,
2,Jan van Breda Kolff,25,SF,72,2398,12.0,.520,.374,6.3,13.5,9.7,7.3,1.4,1.6,2.0,2.5,4.5,.091,-1.0,0.3,-0.7,0.8,
3,Al Skinner,24,SG,79,2256,15.7,.490,.329,4.8,11.9,8.2,20.8,2.1,1.3,0.7,2.6,3.3,.069,-0.6,0.5,-0.1,1.1,
4,Kim Hughes,24,C,81,2081,9.8,.418,.195,8.8,19.2,13.7,6.6,2.7,3.2,-1.4,3.7,2.3,.053,-3.4,2.6,-0.8,0.6,
5,Bubbles Hawkins,22,SG,52,1481,18.2,.487,.310,4.4,6.3,5.3,12.3,2.4,1.0,0.5,1.4,1.9,.063,0.9,-0.4,0.5,0.9,
6,John Williamson,25,SG,42,1426,15.8,.490,.254,1.6,7.1,4.2,11.8,1.9,0.2,0.6,1.1,1.8,.060,-0.8,-0.8,-1.5,0.2,
7,Tiny Archibald,28,PG,34,1277,19.4,.520,.448,1.7,4.8,3.2,33.8,2.1,0.5,1.8,1.0,2.8,.104,2.3,-0.5,1.8,1.2,
8,Jim Fox,33,C,71,1165,13.8,.517,.286,8.3,21.0,14.3,6.7,0.8,1.2,1.0,1.3,2.4,.097,-1.5,-0.7,-2.2,-0.1,
9,Mike Bantom,25,SF,33,1114,18.2,.535,.477,8.7,17.6,13.0,7.7,1.2,1.4,1.6,1.3,2.9,.125,1.0,-0.7,0.3,0.6,
10,Chuck Terry,26,SF,61,1075,8.8,.440,.195,3.9,9.9,6.7,5.5,2.5,0.5,-0.5,1.2,0.7,.029,-4.0,0.9,-3.1,-0.3,
11,Dave Wohl,27,PG,37,924,10.4,.443,.311,1.6,7.0,4.2,20.6,2.0,0.4,-0.6,0.8,0.2,.010,-3.9,-0.3,-4.2,-0.5,
12,Rich Jones,30,SF,34,877,12.5,.449,.348,5.3,17.8,11.2,8.3,2.0,0.7,-0.5,1.1,0.6,.033,-3.0,-0.1,-3.1,-0.2,
13,Mel Davis,26,PF,34,752,11.0,.389,.169,8.7,17.7,13.0,10.2,1.4,0.3,-1.2,0.8,-0.4,-0.027,-3.5,-1.6,-5.1,-0.6,
14,Bob Love,34,SF,13,228,15.4,.532,.368,6.3,10.8,8.4,3.1,0.2,0.5,0.4,0.1,0.5,.105,-0.4,-1.7,-2.2,0.0,
15,Mel Daniels,32,C,11,126,10.7,.432,.657,7.6,20.3,13.7,7.0,1.1,4.9,-0.2,0.2,0.0,-0.002,-5.0,0.8,-4.3,-0.1,
16,Larry McNeill,26,PF,8,93,18.1,.467,.588,10.4,18.4,14.2,5.5,2.0,0.6,0.0,0.1,0.1,.057,-2.6,-0.7,-3.3,0.0,
17,Rudy Hackett,23,PF,1,8,1.9,.238,2.500,12.0,26.7,19.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.277,-4.9,-0.3,-5.2,0.0,
18,Earl Williams,25,C,1,7,11.2,.323,3.000,13.8,15.3,14.5,18.2,0.0,8.0,-0.1,0.0,0.0,-0.328,-4.9,0.0,-4.9,0.0,
