Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Doug Collins,25,SG,19,759,17.6,.590,.302,4.1,6.5,5.3,15.1,1.7,0.2,2.1,0.5,2.6,.163,3.1,-0.6,2.5,0.9,
2,Julius Erving,26,SF,19,758,22.9,.577,.344,5.6,10.7,8.2,18.4,2.4,1.6,2.6,0.8,3.4,.215,6.6,0.7,7.4,1.8,
3,Henry Bibby,27,PG,19,691,10.2,.473,.299,4.2,6.3,5.2,14.3,1.6,0.1,0.3,0.4,0.7,.046,-1.2,-0.6,-1.8,0.0,
4,George McGinnis,26,PF,19,603,14.2,.416,.418,10.7,22.7,16.8,16.1,1.7,0.5,-0.6,0.8,0.2,.015,-1.7,-1.0,-2.6,-0.1,
5,Caldwell Jones,26,C,19,513,9.7,.534,.411,7.7,21.9,14.9,4.8,0.8,4.0,0.1,0.7,0.9,.080,-1.8,1.6,-0.2,0.2,
6,Steve Mix,29,SF,19,412,14.4,.588,.421,5.5,10.2,7.9,14.4,2.3,0.4,0.8,0.4,1.2,.138,1.8,0.7,2.4,0.5,
7,Darryl Dawkins,20,C,18,331,14.4,.566,.495,2.8,27.0,15.1,7.1,1.1,2.8,0.3,0.5,0.8,.115,-0.6,1.3,0.6,0.2,
8,World B. Free,23,SG,15,281,15.2,.439,.453,3.7,7.9,5.8,15.8,1.9,1.5,-0.3,0.2,-0.1,-0.010,-1.6,-1.7,-3.3,-0.1,
9,Joe Bryant,22,PF,10,74,12.2,.420,.258,2.8,17.6,10.3,13.2,3.6,1.4,-0.1,0.1,0.0,.015,-3.4,1.8,-1.6,0.0,
10,Mike Dunleavy,22,PG,11,68,7.5,.404,.200,1.5,4.4,3.0,17.7,2.0,0.0,-0.1,0.0,-0.1,-0.051,-5.7,-1.0,-6.7,-0.1,
11,Harvey Catchings,25,C,8,54,4.3,.316,.600,9.6,13.0,11.3,2.2,0.0,3.8,-0.1,0.0,0.0,-0.017,-4.1,-0.3,-4.4,0.0,
12,Terry Furlow,22,SG,5,16,31.5,.627,.364,19.5,12.6,15.9,0.0,2.8,0.0,0.1,0.0,0.1,.295,8.7,0.2,8.9,0.0,
