Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Julius Erving,26,SF,82,77,2940,20.9,.553,.375,6.9,16.2,11.8,15.9,2.4,1.9,6.8,4.8,11.5,.188,3.3,1.3,4.5,4.8,"MVP-5,AS,NBA2"
2,George McGinnis,26,PF,79,78,2769,20.8,.503,.379,12.4,20.1,16.5,16.8,2.6,0.7,3.7,4.9,8.6,.149,2.0,0.2,2.2,2.9,"MVP-11,AS,NBA2"
3,Henry Bibby,27,PG,81,80,2639,11.5,.499,.402,3.4,6.7,5.2,17.4,1.8,0.1,1.8,2.3,4.1,.074,-1.4,0.0,-1.5,0.4,
4,World B. Free,23,SG,78,37,2253,16.2,.517,.454,4.6,5.9,5.3,17.4,1.5,0.6,2.9,1.8,4.6,.099,0.3,-1.2,-0.9,0.7,
5,Doug Collins,25,SG,58,47,2037,16.7,.569,.304,3.3,6.1,4.8,19.6,1.5,0.4,4.6,1.6,6.2,.145,1.4,-0.5,0.8,1.4,AS
6,Caldwell Jones,26,C,82,57,2023,12.3,.520,.274,9.9,22.3,16.5,5.8,0.9,4.9,0.7,3.7,4.4,.103,-1.7,2.1,0.4,1.2,
7,Steve Mix,29,SF,75,9,1958,15.1,.593,.477,6.9,12.1,9.6,10.5,2.0,0.5,4.1,2.4,6.5,.158,1.1,0.6,1.8,1.9,
8,Harvey Catchings,25,C,53,25,864,10.0,.546,.382,7.8,18.7,13.5,4.3,1.2,4.5,0.2,1.5,1.7,.092,-2.3,2.4,0.1,0.5,
9,Darryl Dawkins,20,C,59,0,684,16.5,.621,.367,9.1,23.7,16.8,5.1,0.8,3.6,0.9,1.2,2.1,.150,-0.8,1.0,0.2,0.4,
10,Joe Bryant,22,PF,61,0,612,14.1,.493,.292,7.8,11.2,9.6,11.0,2.6,1.1,0.3,0.8,1.2,.093,-1.1,0.6,-0.5,0.2,
11,Mike Dunleavy,22,PG,32,0,359,11.9,.467,.310,2.9,6.3,4.7,21.7,1.6,0.3,-0.1,0.3,0.2,.023,-3.7,-0.9,-4.6,-0.3,
12,Fred Carter,31,SG,14,0,237,10.4,.439,.188,4.5,5.6,5.1,12.5,2.1,0.4,-0.1,0.2,0.1,.024,-3.0,-0.3,-3.4,-0.1,
13,Jim Barnett,32,SG,16,0,231,7.4,.459,.281,3.2,2.9,3.0,13.0,0.8,0.0,0.0,0.1,0.1,.014,-3.4,-1.1,-4.4,-0.2,
14,Terry Furlow,22,SG,32,0,174,13.4,.389,.180,10.9,11.5,11.2,15.8,1.8,0.6,-0.2,0.2,0.0,.011,-2.5,-1.3,-3.7,-0.1,
