Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Paul Westphal,26,PG,81,2600,21.4,.571,.333,2.4,5.5,3.9,29.4,2.3,0.4,6.9,2.7,9.6,.178,3.9,0.1,4.0,4.0,"AS,NBA1"
2,Alvan Adams,22,C,72,2278,20.2,.519,.303,8.5,22.3,15.4,22.3,1.9,2.1,2.3,4.0,6.3,.134,2.0,1.6,3.6,3.2,
3,Ricky Sobers,24,SG,79,2005,16.5,.557,.347,4.4,8.1,6.3,18.1,2.1,0.4,3.0,2.2,5.3,.126,0.2,0.2,0.5,1.3,
4,Ron Lee,24,PG,82,1849,15.6,.476,.267,5.8,11.6,8.7,21.1,3.8,1.0,-0.5,3.2,2.8,.072,-1.5,2.2,0.8,1.3,
5,Dennis Awtrey,28,C,72,1760,9.6,.480,.338,6.8,15.0,10.9,13.4,0.6,1.0,0.3,1.8,2.1,.057,-1.6,0.2,-1.4,0.3,
6,Ira Terrell,22,SF,78,1751,12.8,.534,.323,6.1,17.7,11.9,8.3,1.1,1.5,1.3,2.3,3.6,.097,-0.7,0.2,-0.5,0.7,
7,Dick Van Arsdale,33,SG,78,1535,11.1,.524,.333,2.2,6.0,4.1,10.9,1.0,0.2,1.7,1.1,2.7,.086,-1.2,-0.8,-1.9,0.0,
8,Tom Van Arsdale,33,SF,77,1425,7.7,.484,.367,3.6,10.3,7.0,6.3,0.6,0.1,0.0,1.1,1.1,.037,-3.4,-1.0,-4.4,-0.9,
9,Curtis Perry,28,PF,44,1391,12.7,.493,.343,11.6,19.0,15.3,7.7,1.6,1.1,0.7,2.0,2.8,.096,-1.2,0.0,-1.2,0.3,
10,Gar Heard,28,PF,46,1363,12.6,.431,.302,9.5,25.2,17.4,8.9,1.8,2.2,-0.8,2.5,1.7,.062,-2.0,0.7,-1.3,0.2,
11,Keith Erickson,32,SF,50,949,11.1,.508,.170,4.1,12.2,8.2,15.4,1.4,0.4,0.4,1.0,1.4,.071,-1.9,0.3,-1.6,0.1,
12,Butch Feher,22,SG,48,487,15.9,.603,.611,4.0,12.4,8.2,10.8,1.0,0.8,1.0,0.5,1.5,.145,0.9,-0.3,0.6,0.3,
13,Dale Schlueter,31,C,39,337,8.5,.409,.431,9.6,15.9,12.8,14.3,1.1,1.3,-0.4,0.4,0.1,.009,-4.1,0.7,-3.4,-0.1,
