Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Bill Walton,24,C,19,755,19.7,.527,.189,8.1,31.8,20.3,19.4,1.2,4.7,0.8,1.8,2.5,.162,4.0,2.1,6.0,1.5,Finals MVP-1
2,Maurice Lucas,24,PF,19,731,19.0,.559,.320,6.5,20.5,13.7,15.7,1.7,1.8,1.2,1.3,2.6,.169,4.0,0.1,4.2,1.1,
3,Lionel Hollins,23,PG,19,682,13.3,.456,.274,2.1,5.9,4.1,17.4,3.1,0.4,-0.4,1.0,0.6,.044,-0.5,-0.7,-1.1,0.1,
4,Bob Gross,23,SF,19,583,18.7,.639,.290,9.2,11.2,10.2,18.9,2.5,1.4,1.5,1.0,2.5,.203,4.8,0.7,5.6,1.1,
5,Johnny Davis,21,SG,16,436,13.6,.537,.398,2.5,5.5,4.0,15.6,2.9,0.4,0.4,0.6,1.0,.113,2.0,0.1,2.1,0.5,
6,Dave Twardzik,26,PG,14,354,14.3,.643,.634,1.2,5.8,3.6,14.5,2.0,0.3,0.7,0.4,1.1,.147,1.3,-0.4,0.9,0.3,
7,Herm Gilliam,30,SG,18,295,10.3,.448,.098,2.6,4.6,3.6,14.8,2.0,0.2,-0.1,0.3,0.2,.039,-0.3,-1.5,-1.8,0.0,
8,Larry Steele,27,SG,18,261,8.0,.452,.457,5.0,5.9,5.5,8.5,1.5,0.0,-0.1,0.3,0.2,.034,-1.7,-1.5,-3.3,-0.1,
9,Lloyd Neal,26,PF,19,206,13.9,.517,.413,11.2,24.6,18.1,10.7,0.4,2.2,0.1,0.3,0.5,.105,0.5,-0.9,-0.4,0.1,
10,Robin Jones,22,C,19,105,11.5,.501,.281,8.4,14.8,11.7,11.1,1.7,2.1,0.0,0.2,0.1,.067,-1.7,0.2,-1.6,0.0,
11,Corky Calhoun,26,SF,12,94,9.5,.532,.120,7.0,8.8,7.9,5.5,1.9,1.2,0.0,0.1,0.2,.084,-0.3,-0.5,-0.8,0.0,
12,Wally Walker,22,SF,10,83,12.6,.550,.194,2.6,6.2,4.5,14.3,1.6,0.0,0.0,0.1,0.1,.063,-1.0,-1.3,-2.3,0.0,
