Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Maurice Lucas,24,PF,79,2863,18.3,.516,.323,9.9,22.2,16.2,11.5,1.3,1.0,4.9,3.9,8.7,.147,1.6,-0.8,0.8,2.1,"MVP-9,AS"
2,Bill Walton,24,C,65,2264,22.9,.563,.352,9.8,32.3,21.2,15.4,1.3,5.0,5.4,4.8,10.2,.215,4.3,2.3,6.7,5.0,"MVP-2,AS,NBA2"
3,Bob Gross,23,SF,82,2232,16.2,.580,.302,8.1,10.0,9.1,14.5,2.1,1.4,4.9,2.5,7.4,.159,2.2,0.7,3.0,2.8,
4,Lionel Hollins,23,PG,76,2224,15.6,.477,.274,2.4,7.2,4.9,19.7,3.3,0.9,1.1,2.9,4.0,.086,-0.7,0.8,0.1,1.2,
5,Dave Twardzik,26,PG,74,1937,16.3,.689,.660,4.1,6.6,5.4,16.3,2.9,0.4,5.3,2.2,7.5,.186,1.4,1.6,3.0,2.5,
6,Larry Steele,27,SG,81,1680,16.3,.555,.348,4.4,7.0,5.8,14.1,3.1,0.4,3.2,2.0,5.2,.148,0.5,1.1,1.6,1.5,
7,Herm Gilliam,30,SG,80,1665,12.7,.467,.161,4.0,8.3,6.2,14.1,2.0,0.2,0.9,1.5,2.5,.071,-1.1,-0.6,-1.7,0.1,
8,Johnny Davis,21,SG,79,1451,12.8,.509,.394,4.5,4.5,4.5,13.5,1.3,0.4,1.7,0.9,2.5,.084,-0.2,-1.4,-1.6,0.1,
9,Robin Jones,22,C,63,1065,13.1,.496,.365,10.1,18.3,14.3,9.5,1.5,1.9,0.7,1.4,2.2,.097,-0.2,0.4,0.2,0.6,
10,Lloyd Neal,26,PF,58,955,13.1,.509,.335,9.5,17.8,13.7,8.1,0.4,2.0,0.8,1.0,1.8,.091,-1.3,-0.9,-2.2,0.0,
11,Corky Calhoun,26,SF,70,743,10.0,.535,.464,5.6,14.2,10.0,5.9,1.4,0.6,0.5,0.8,1.3,.083,-2.4,-0.1,-2.5,-0.1,
12,Wally Walker,22,SF,66,627,14.0,.489,.328,7.5,10.2,8.9,11.6,1.0,0.2,0.4,0.5,0.9,.068,-1.0,-2.2,-3.2,-0.2,
13,Clyde Mayes,23,PF,5,24,3.5,.222,.000,26.2,0.0,12.9,0.0,0.0,4.4,-0.1,0.0,-0.1,-0.109,-4.6,-0.7,-5.3,-0.1,
