Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Larry Kenon,24,PF,2,79,13.7,.502,.061,3.6,18.0,10.0,11.7,2.8,0.7,0.0,0.1,0.1,.086,-0.4,1.5,1.1,0.1,
2,Billy Paultz,28,C,2,74,15.2,.572,.542,1.3,25.6,12.1,9.8,1.2,0.7,0.1,0.1,0.2,.148,1.5,0.8,2.2,0.1,
3,Mike Gale,26,SG,2,67,12.1,.422,.304,7.0,8.8,7.8,20.7,2.6,1.6,-0.1,0.1,0.0,.017,-1.9,1.3,-0.6,0.0,
4,Coby Dietrick,28,C,2,64,11.7,.507,.261,5.9,9.3,7.4,11.7,0.7,0.0,0.1,0.0,0.1,.067,0.5,-1.3,-0.8,0.0,
5,Louie Dampier,32,PG,2,62,5.7,.338,.250,0.0,5.7,2.5,18.4,0.7,0.8,-0.1,0.0,-0.1,-0.060,-4.3,-1.2,-5.6,-0.1,
6,George Gervin,24,SF,2,62,18.6,.494,.341,7.6,11.5,9.3,8.8,0.7,1.7,0.0,0.0,0.1,.055,1.6,-1.6,-0.1,0.0,
7,Mark Olberding,20,PF,2,42,8.4,.558,.667,4.5,14.1,8.7,6.5,0.0,1.2,0.0,0.0,0.0,.046,-4.2,-0.6,-4.8,0.0,
8,Allan Bristow,25,SF,2,28,9.6,.309,1.000,10.1,4.2,7.5,33.5,3.1,0.0,-0.1,0.0,-0.1,-0.139,-5.2,-0.1,-5.3,0.0,
9,George Karl,25,PG,1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.002,-4.9,-1.5,-6.3,0.0,
10,Henry Ward,25,SG,1,1,98.3,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.803,49.4,6.7,56.1,0.0,
