Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Slick Watts,25,PG,79,,2627,16.3,.449,.289,3.0,9.2,6.0,34.0,3.7,0.5,-0.3,3.6,3.3,.060,-0.2,0.9,0.7,1.8,
2,Fred Brown,28,SG,72,,2098,17.4,.516,.171,3.2,8.4,5.7,13.7,2.7,0.5,3.9,2.2,6.1,.140,1.6,0.6,2.2,2.2,
3,Bruce Seals,23,PF,81,,1977,12.3,.477,.229,5.9,12.8,9.2,6.9,1.1,1.6,0.6,1.9,2.4,.059,-1.9,-0.7,-2.7,-0.3,
4,Mike Green,25,C,76,,1928,14.5,.490,.357,9.8,17.4,13.4,8.7,1.0,3.6,1.4,2.5,3.9,.097,-0.4,0.5,0.1,1.0,
5,Tom Burleson,24,C,82,82,1803,16.3,.507,.462,10.1,21.8,15.7,7.3,1.8,3.5,1.4,3.0,4.4,.117,-1.0,0.9,0.0,0.9,
6,Dennis Johnson,22,SG,81,,1667,16.7,.541,.507,9.5,9.1,9.3,10.6,3.3,1.8,2.2,2.3,4.5,.130,1.0,1.7,2.6,2.0,
7,Willie Norwood,29,SF,76,,1647,12.0,.528,.447,7.6,10.8,9.1,8.2,1.7,0.2,1.8,1.5,3.3,.095,-1.1,-0.3,-1.3,0.3,
8,Bob Wilkerson,22,SF,78,,1552,11.2,.420,.213,6.1,11.2,8.6,15.2,2.1,0.3,-0.6,1.6,0.9,.028,-2.1,-0.1,-2.2,-0.1,
9,Nick Weatherspoon,26,SF,51,,1505,13.3,.484,.221,7.2,21.0,13.8,5.0,1.5,0.8,0.8,1.9,2.8,.089,-1.0,-0.6,-1.6,0.1,
10,Mike Bantom,25,PF,44,,795,14.8,.522,.299,10.3,13.9,12.0,9.4,2.0,1.4,0.9,1.0,1.9,.113,-0.2,0.3,0.1,0.4,
11,Leonard Gray,25,PF,25,,643,13.3,.484,.298,3.5,14.0,8.6,12.4,1.9,1.1,0.2,0.7,0.9,.070,-1.7,0.3,-1.4,0.1,
12,Dean Tolson,25,PF,60,,587,20.8,.575,.657,12.3,15.4,13.8,7.2,2.4,1.9,1.2,0.8,2.0,.166,2.4,0.4,2.8,0.7,
13,Frank Oleynick,21,PG,50,,516,9.6,.408,.238,2.5,6.7,4.5,16.3,1.1,0.4,-0.5,0.3,-0.2,-0.018,-3.6,-1.7,-5.3,-0.4,
14,Bob Love,34,SF,32,,450,9.1,.462,.388,5.7,14.6,10.0,6.1,1.3,0.2,0.1,0.4,0.5,.055,-2.8,-0.5,-3.3,-0.1,
15,Norton Barnhill,23,SG,4,,10,4.7,.333,.000,19.8,10.7,15.4,15.0,0.0,0.0,0.0,0.0,0.0,-0.198,-5.0,-0.3,-5.3,0.0,
