Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Elvin Hayes,31,PF,9,405,15.7,.475,.341,7.7,23.3,15.7,6.3,1.2,2.7,0.2,0.6,0.8,.092,0.1,0.4,0.5,0.2,
2,Wes Unseld,30,C,9,368,11.9,.565,.222,7.0,22.4,14.9,15.5,1.0,0.8,0.4,0.4,0.8,.106,0.8,1.9,2.7,0.4,
3,Phil Chenier,26,SG,9,360,18.2,.527,.296,2.4,9.0,5.8,10.6,2.0,0.6,0.7,0.3,1.0,.137,2.6,0.3,2.9,0.4,
4,Tom Henderson,25,PG,9,322,14.3,.493,.333,2.7,3.8,3.2,27.8,1.6,0.3,0.3,0.1,0.4,.065,0.9,-0.9,0.1,0.2,
5,Mitch Kupchak,22,C,9,252,19.6,.630,.656,12.0,16.1,14.1,6.2,0.4,0.6,0.9,0.2,1.0,.197,2.9,-1.0,1.9,0.2,
6,Kevin Grevey,23,SF,9,225,8.7,.443,.261,4.8,2.7,3.7,5.1,0.4,1.1,0.0,0.0,0.0,-0.002,-1.7,-1.8,-3.5,-0.1,
7,Larry Wright,22,PG,8,104,17.1,.549,.538,1.0,5.9,3.5,22.9,3.2,0.5,0.1,0.1,0.2,.101,-0.6,1.7,1.1,0.1,
8,Dave Bing,33,SG,8,55,14.8,.474,.125,5.9,5.5,5.7,15.2,0.0,0.9,0.0,0.0,0.1,.047,0.6,-2.2,-1.6,0.0,
9,Leonard Gray,25,PF,8,52,1.7,.286,.000,4.1,13.7,9.0,2.6,1.8,0.0,-0.2,0.0,-0.2,-0.149,-9.7,-1.3,-11.0,-0.1,
10,Bob Weiss,34,PG,4,34,6.2,.551,.200,3.2,6.0,4.6,7.7,1.4,0.0,0.0,0.0,0.0,.056,-4.1,1.3,-2.8,0.0,
11,Mike Riordan,31,SF,2,8,-1.9,.000,.000,0.0,25.4,13.1,14.6,0.0,0.0,-0.1,0.0,-0.1,-0.313,-10.2,-1.8,-12.0,0.0,
