Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Elvin Hayes,31,PF,82,,3364,19.8,.544,.405,9.0,22.1,15.7,7.1,1.2,3.3,6.6,5.5,12.1,.173,2.1,0.8,2.8,4.1,"MVP-7,AS,NBA1"
2,Wes Unseld,30,C,82,82,2860,12.8,.513,.301,8.9,22.3,15.8,15.9,1.4,0.8,2.1,4.1,6.2,.103,0.3,1.7,2.0,2.9,
3,Phil Chenier,26,SG,78,,2842,15.8,.489,.218,2.1,8.6,5.4,15.7,1.9,0.7,2.9,2.9,5.8,.098,0.5,0.1,0.5,1.8,AS
4,Dave Bing,33,SG,64,,1516,15.3,.503,.295,3.7,5.9,4.8,25.5,1.8,0.2,1.6,1.3,2.9,.092,0.1,-0.4,-0.3,0.7,
5,Mitch Kupchak,22,C,82,,1513,19.3,.605,.413,12.7,20.7,16.8,6.2,0.7,1.1,4.1,1.9,5.9,.188,2.1,-0.7,1.4,1.3,
6,Larry Wright,22,PG,78,,1421,13.0,.474,.193,2.4,4.7,3.5,23.1,1.8,0.2,0.3,1.1,1.4,.048,-1.8,-0.7,-2.5,-0.2,
7,Truck Robinson,25,PF,41,,1328,15.2,.516,.342,9.4,18.7,14.2,4.9,1.0,0.7,1.6,1.5,3.2,.114,0.2,-1.0,-0.7,0.4,
8,Kevin Grevey,23,SF,76,,1306,9.9,.452,.225,5.9,8.1,7.0,7.2,1.0,0.4,-0.2,1.0,0.7,.027,-2.7,-1.2,-3.9,-0.6,
9,Tom Henderson,25,PG,41,,1223,14.7,.523,.389,2.2,7.4,4.8,23.2,2.2,0.4,1.4,1.2,2.6,.102,0.1,0.6,0.6,0.8,
10,Leonard Gray,25,PF,58,,996,10.2,.475,.242,6.4,12.6,9.6,9.3,1.4,0.9,-0.2,1.1,0.9,.042,-3.6,0.3,-3.3,-0.3,
11,Bob Weiss,34,PG,62,,768,11.3,.512,.278,2.1,7.1,4.6,20.9,3.1,0.5,0.5,1.0,1.4,.089,-1.7,2.6,0.9,0.6,
12,Mike Riordan,31,SF,49,,289,5.6,.393,.160,2.5,7.0,4.8,9.0,0.5,0.4,-0.3,0.2,-0.1,-0.024,-4.5,-1.0,-5.5,-0.3,
13,Nick Weatherspoon,26,SF,11,,152,7.1,.371,.105,7.6,8.6,8.1,1.8,0.9,1.7,-0.3,0.1,-0.1,-0.046,-4.3,-1.3,-5.5,-0.2,
14,Joe Pace,23,C,30,,119,16.5,.472,.527,14.1,15.2,14.7,4.9,0.8,7.3,-0.1,0.2,0.1,.054,-4.3,0.7,-3.6,0.0,
15,Jimmy Jones,32,PG,3,,33,3.0,.279,.444,3.2,9.1,6.2,3.7,2.7,0.0,-0.1,0.0,-0.1,-0.080,-4.8,0.1,-4.6,0.0,
