Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Randy Smith,29,SG,82,82,3314,19.1,.521,.326,3.6,6.4,5.0,22.2,2.4,0.2,12.8,26.8,6.1,1.7,7.9,.114,2.2,-0.7,1.5,2.9,AS
2,Swen Nater,28,C,78,,2778,16.9,.543,.274,10.8,28.8,19.9,11.4,0.7,0.9,16.8,19.2,4.0,2.8,6.8,.117,1.1,-0.8,0.3,1.6,
3,Billy Knight,25,SF,53,,2155,18.7,.558,.402,6.3,12.7,9.5,11.5,1.8,0.3,13.3,23.3,4.7,1.3,6.0,.133,2.5,-0.9,1.6,2.0,AS
4,Chuck Williams,31,PG,73,,2002,9.5,.533,.317,1.6,5.8,3.7,20.9,1.1,0.1,23.9,13.0,1.0,0.3,1.3,.031,-1.6,-1.3,-3.0,-0.5,
5,Wil Jones,30,PF,79,,1711,9.4,.473,.232,6.7,14.2,10.5,9.3,1.9,1.3,19.5,16.4,-0.6,1.4,0.9,.024,-2.9,0.3,-2.6,-0.3,
6,Marvin Barnes,25,PF,48,,1377,14.1,.464,.282,8.4,18.7,13.6,12.2,1.9,2.7,14.9,20.8,0.3,1.6,1.8,.064,-1.4,0.8,-0.5,0.5,
7,Bill Willoughby,20,SF,56,,1079,10.9,.472,.220,7.6,14.1,10.9,4.9,1.0,2.3,12.3,16.8,0.4,0.7,1.2,.051,-1.9,-0.6,-2.5,-0.1,
8,Mike Glenn,22,SG,56,,947,14.3,.553,.176,1.6,7.3,4.5,12.6,1.7,0.3,11.1,18.9,1.5,0.4,1.9,.096,-0.4,-0.3,-0.6,0.3,
9,Larry McNeill,27,PF,37,,873,16.0,.543,.462,9.6,13.4,11.5,7.5,0.9,0.6,12.9,21.4,1.8,0.4,2.2,.123,0.8,-1.6,-0.8,0.3,
10,Ted McClain,31,PG,41,,727,10.5,.501,.342,1.6,9.4,5.5,22.6,2.7,0.1,24.3,15.4,0.0,0.5,0.5,.035,-2.9,0.5,-2.4,-0.1,
11,Jim McDaniels,29,C,42,,694,10.2,.467,.179,7.2,20.7,14.0,8.8,0.3,2.8,16.5,17.4,-0.1,0.6,0.5,.035,-3.1,-0.1,-3.3,-0.2,
12,Bird Averitt,25,SG,34,,676,11.5,.476,.324,1.6,6.3,4.0,28.2,1.5,0.6,20.6,25.2,-0.4,0.2,-0.2,-0.013,-1.8,-2.1,-3.9,-0.3,
13,John Shumate,25,PF,18,,590,14.2,.576,.656,5.9,17.3,11.6,13.4,1.1,0.8,19.1,16.3,0.9,0.4,1.3,.106,0.4,-0.1,0.3,0.3,
14,Scott Lloyd,25,C,56,,566,9.6,.482,.363,8.6,13.9,11.3,8.3,0.9,0.8,16.3,15.6,0.3,0.3,0.6,.047,-2.3,-0.9,-3.2,-0.2,
15,Gary Brokaw,24,SG,13,,130,13.3,.504,.558,2.5,7.4,5.0,21.3,1.1,2.0,18.3,20.1,0.1,0.1,0.1,.053,-1.4,-0.2,-1.6,0.1,
16,Gus Gerard,24,SF,10,,85,13.5,.461,.375,7.6,10.0,8.8,15.7,1.1,1.8,13.1,25.2,0.0,0.0,0.1,.046,-2.6,-0.4,-2.9,0.0,
17,Eddie Owens,24,SF,8,,63,8.8,.444,.286,8.6,8.5,8.5,11.0,0.7,0.0,11.3,16.9,0.0,0.0,0.0,.027,-3.2,-0.6,-3.9,0.0,
18,Larry Johnson,23,SG,4,,38,8.0,.216,.154,2.8,11.2,7.1,23.5,6.1,2.7,17.8,17.7,-0.2,0.1,-0.1,-0.099,-3.9,1.0,-2.9,0.0,
