Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Artis Gilmore,28,C,82,82,3067,23.5,.604,.531,11.3,26.6,19.0,14.0,0.6,3.2,19.1,25.3,7.8,3.7,11.5,.180,3.8,0.3,4.1,4.7,"MVP-8,AS"
2,Wilbur Holland,26,SG,82,81,2884,14.1,.483,.217,4.0,7.1,5.6,16.8,2.7,0.3,13.7,22.8,2.2,2.2,4.4,.073,-0.7,-0.2,-0.9,0.8,
3,Mickey Johnson,25,PF,81,81,2870,17.4,.526,.367,8.3,19.7,14.0,14.4,1.5,1.3,16.1,23.6,4.4,2.9,7.2,.121,1.0,-0.2,0.8,2.0,
4,Norm Van Lier,30,PG,78,75,2524,11.7,.495,.480,3.7,8.5,6.1,27.6,2.7,0.1,25.7,12.4,1.8,2.0,3.8,.073,-1.3,0.7,-0.6,0.9,
5,Scott May,23,SF,55,55,1802,12.7,.516,.350,7.2,12.9,10.0,9.2,1.3,0.2,14.9,18.7,2.1,1.1,3.1,.084,-0.4,-1.3,-1.7,0.2,
6,John Mengelt,28,SG,81,8,1767,14.5,.535,.353,2.5,5.4,4.0,19.9,1.4,0.1,13.7,20.6,3.2,0.6,3.9,.105,0.4,-1.3,-0.9,0.5,
7,Mark Landsberger,22,PF,62,15,926,14.5,.539,.625,13.0,22.4,17.7,6.3,1.1,0.4,17.7,16.9,1.1,0.8,1.9,.100,0.5,-1.6,-1.1,0.2,
8,Cazzie Russell,33,SF,36,5,789,11.6,.479,.188,4.3,7.1,5.7,11.5,1.1,0.3,9.6,18.6,0.8,0.3,1.1,.070,-0.7,-1.4,-2.1,0.0,
9,Tate Armstrong,22,SG,66,0,716,11.1,.487,.096,3.7,6.7,5.2,15.7,1.5,0.0,16.6,19.7,0.1,0.3,0.4,.027,-1.2,-1.5,-2.7,-0.1,
10,Steve Sheppard,23,SF,64,7,698,11.5,.480,.214,10.5,9.9,10.2,9.2,0.9,0.2,13.8,19.2,0.5,0.3,0.8,.054,-0.7,-2.1,-2.8,-0.1,
11,Nick Weatherspoon,27,SF,41,0,611,10.5,.492,.216,10.2,12.1,11.1,7.5,1.5,0.9,18.7,17.3,0.2,0.4,0.6,.049,-1.7,-1.0,-2.7,-0.1,
12,Cliff Pondexter,23,PF,44,0,534,11.6,.469,.235,7.4,19.1,13.3,21.1,1.7,1.5,24.2,9.4,0.4,0.6,1.0,.087,0.0,2.2,2.2,0.6,
13,Tom Boerwinkle,32,C,22,0,227,10.3,.503,.260,6.7,21.5,14.2,26.1,0.6,1.0,31.8,14.5,0.0,0.2,0.2,.035,-2.2,0.9,-1.3,0.1,
14,Derrek Dickey,26,PF,25,1,220,6.1,.445,.279,7.5,16.3,11.9,6.3,0.9,0.5,23.1,18.2,-0.3,0.1,-0.1,-0.031,-4.3,-1.3,-5.6,-0.2,
15,Jim Ard,29,C,14,0,116,2.7,.520,.188,7.5,22.4,15.0,7.8,0.0,0.0,44.7,10.9,-0.2,0.1,-0.1,-0.050,-4.7,-0.6,-5.2,-0.1,
16,Glenn Hansen,25,SG,2,0,4,-28.8,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,30.3,-0.1,0.0,-0.1,-0.773,-5.1,-0.3,-5.4,0.0,
