Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,David Thompson,23,SG,13,481,18.2,.503,.275,3.9,7.2,5.6,16.9,0.8,2.2,10.7,28.6,0.8,0.1,1.0,.095,2.3,-0.8,1.5,0.4,
2,Dan Issel,29,C,13,460,19.0,.544,.307,9.2,20.1,14.8,16.7,0.7,0.3,13.9,22.9,1.0,0.2,1.3,.135,2.2,-0.5,1.7,0.4,
3,Bob Wilkerson,23,SF,13,426,10.9,.412,.331,4.9,11.9,8.5,22.8,2.0,0.5,14.7,15.1,0.1,0.2,0.3,.039,-2.3,1.1,-1.2,0.1,
4,Anthony Roberts,22,SF,13,400,15.6,.480,.251,11.7,15.6,13.7,10.7,1.2,0.8,10.9,23.4,0.5,0.2,0.8,.092,-0.4,-1.0,-1.4,0.1,
5,Bobby Jones,26,PF,13,390,18.0,.609,.397,9.6,16.8,13.3,12.1,1.9,1.2,15.0,15.5,0.9,0.3,1.3,.154,1.7,1.2,3.0,0.5,
6,Darnell Hillman,28,PF,13,260,7.8,.426,.190,10.0,21.0,15.6,8.7,1.0,1.4,21.9,15.9,-0.2,0.2,0.0,-0.006,-5.4,0.0,-5.4,-0.2,
7,Ralph Simpson,28,SG,13,225,11.8,.485,.242,2.3,6.2,4.3,23.4,0.8,0.5,16.7,21.1,0.1,0.0,0.1,.019,-1.4,-1.5,-2.9,-0.1,
8,Bo Ellis,23,PF,12,170,9.6,.494,.375,9.1,16.4,12.8,5.8,1.6,2.4,23.1,13.4,0.0,0.1,0.1,.034,-3.6,0.9,-2.7,0.0,
9,Mack Calvin,30,PG,12,135,16.6,.593,.690,2.3,3.7,3.0,20.1,2.4,0.0,16.7,18.3,0.4,0.0,0.4,.141,0.7,0.6,1.3,0.1,
10,Robert Smith,22,PG,11,96,16.7,.671,.269,5.4,4.1,4.8,24.0,2.8,0.0,21.6,14.5,0.2,0.0,0.3,.134,0.9,1.9,2.8,0.1,
11,Tom LaGarde,22,C,9,77,9.5,.566,.368,12.1,11.6,11.9,11.6,0.0,1.3,29.0,15.2,0.0,0.0,0.0,.016,-3.0,-0.8,-3.8,0.0,
