Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Chris Ford,29,SG,82,2582,12.9,.510,.198,4.8,6.0,5.4,19.7,2.9,0.3,21.5,16.0,1.4,2.2,3.6,.067,-0.5,0.6,0.1,1.4,
2,Eric Money,22,PG,76,2557,15.4,.531,.248,3.8,4.8,4.3,21.1,2.1,0.2,19.5,24.7,2.0,1.6,3.6,.067,0.2,-1.2,-1.1,0.6,
3,M.L. Carr,27,SF,79,2556,13.6,.502,.316,8.4,14.3,11.4,9.8,2.6,0.5,17.7,17.8,1.7,2.8,4.5,.085,-0.4,0.4,0.0,1.3,
4,Bob Lanier,29,C,63,2311,24.8,.580,.333,9.1,23.1,16.2,14.9,1.6,2.1,14.5,25.7,7.0,3.1,10.1,.209,4.7,0.7,5.4,4.3,"MVP-10,AS"
5,John Shumate,25,PF,62,2170,16.5,.597,.658,6.1,20.4,13.4,7.5,1.6,1.0,18.8,17.4,4.0,2.4,6.4,.142,1.1,0.2,1.3,1.8,
6,Leon Douglas,23,C,79,1993,13.6,.527,.517,9.7,20.8,15.3,7.7,1.3,1.2,19.4,19.5,1.4,2.2,3.6,.087,-1.6,-0.4,-2.0,0.0,
7,Al Skinner,25,SG,69,1274,10.0,.531,.411,4.4,9.6,7.1,11.8,1.8,0.6,22.4,17.7,0.4,1.0,1.3,.051,-2.8,-0.1,-2.9,-0.3,
8,Jim Price,28,PG,34,839,13.5,.478,.284,3.4,9.1,6.3,17.1,2.4,0.3,15.3,22.0,0.4,0.7,1.2,.066,-1.3,-0.1,-1.4,0.1,
9,Gus Gerard,24,SF,47,805,13.2,.470,.262,6.5,12.4,9.5,7.8,1.9,1.4,12.0,21.4,0.4,0.8,1.2,.070,-1.2,-0.3,-1.6,0.1,
10,Ralph Simpson,28,SG,32,739,11.7,.454,.185,3.9,7.7,5.8,16.8,1.9,0.2,17.3,23.4,-0.3,0.5,0.2,.012,-1.8,-1.3,-3.2,-0.2,
11,Ben Poquette,22,PF,52,626,10.6,.461,.267,8.5,15.7,12.2,4.3,0.7,1.8,13.7,17.8,0.1,0.5,0.6,.049,-2.1,-1.1,-3.3,-0.2,
12,Al Eberhard,25,SF,37,576,10.0,.490,.381,6.9,11.7,9.3,5.9,1.0,0.4,11.0,13.9,0.6,0.3,0.9,.078,-1.3,-0.8,-2.1,0.0,
13,Marvin Barnes,25,PF,12,269,13.0,.459,.246,11.1,24.2,17.8,10.1,1.2,2.1,18.2,22.7,-0.1,0.3,0.2,.038,-2.5,-0.3,-2.9,-0.1,
14,Willie Norwood,30,SF,16,260,10.4,.464,.354,11.1,10.7,10.9,7.1,2.2,0.6,15.2,16.4,0.1,0.2,0.4,.070,-2.3,-0.1,-2.3,0.0,
15,Kevin Porter,27,PG,8,127,13.3,.504,.419,4.2,8.1,6.2,36.1,1.8,0.0,24.6,14.7,0.2,0.1,0.2,.091,-1.5,-0.3,-1.9,0.0,
16,Howard Porter,29,SF,8,107,7.0,.391,.163,5.0,11.6,8.3,2.5,1.2,2.4,9.8,18.3,-0.1,0.1,0.0,-0.004,-3.8,-0.4,-4.1,-0.1,
17,Jim Bostic,25,PF,4,48,18.9,.537,.227,17.8,17.2,17.5,9.7,0.0,0.0,11.0,21.7,0.1,0.0,0.1,.144,-2.0,-0.7,-2.7,0.0,
18,Wayman Britt,25,SG,7,16,13.5,.383,.400,6.7,19.4,13.1,17.7,2.8,0.0,7.8,30.5,0.0,0.0,0.0,.046,-4.5,0.0,-4.5,0.0,
