Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Ricky Sobers,25,PG,79,3019,15.4,.514,.328,2.9,7.8,5.3,27.7,2.5,0.4,20.1,21.8,2.4,2.4,4.8,.076,0.1,-0.4,-0.3,1.3,
2,Mike Bantom,26,SF,82,2775,14.8,.525,.327,6.3,15.3,10.7,12.2,1.6,0.9,15.4,19.2,3.3,2.6,5.9,.102,0.1,0.0,0.1,1.5,
3,Dan Roundfield,24,PF,79,2423,18.0,.534,.348,10.8,21.7,16.1,11.4,1.5,3.2,16.3,18.4,3.6,3.3,6.9,.138,1.0,0.9,1.9,2.4,
4,Earl Tatum,24,SG,57,1859,14.2,.493,.177,2.9,8.0,5.4,17.6,2.5,0.8,13.6,19.5,1.5,1.5,3.1,.079,-0.4,0.6,0.2,1.1,
5,James Edwards,22,C,58,1682,14.8,.492,.381,8.6,16.7,12.6,4.9,1.0,1.5,11.0,22.8,1.8,1.5,3.3,.094,-0.7,-1.4,-2.1,0.0,
6,John Williamson,26,SG,42,1449,12.0,.464,.203,2.2,5.9,4.0,14.0,1.4,0.0,12.8,25.8,0.0,0.6,0.6,.021,-1.9,-2.0,-3.9,-0.7,
7,Len Elmore,25,C,69,1327,12.5,.419,.342,9.9,21.1,15.4,7.8,2.5,2.8,14.1,14.6,0.1,2.1,2.1,.078,-1.5,1.4,-0.1,0.6,
8,Ron Behagen,27,PF,51,1131,13.5,.460,.324,12.3,16.5,14.3,8.4,1.3,0.9,15.4,24.4,0.1,1.0,1.1,.048,-1.6,-1.9,-3.5,-0.4,
9,Mike Flynn,24,PG,71,955,11.6,.476,.363,4.7,7.3,6.0,19.6,1.9,0.5,19.5,15.1,0.3,0.6,0.8,.042,-0.6,-0.1,-0.7,0.3,
10,Adrian Dantley,22,SF,23,948,23.4,.587,.653,9.4,12.8,11.1,10.2,2.2,0.9,11.4,23.2,3.5,0.9,4.5,.225,5.1,0.2,5.3,1.7,
11,Bob Carrington,24,SG,35,621,12.1,.545,.376,4.3,5.5,4.9,13.7,1.6,0.9,18.5,17.0,0.6,0.3,1.0,.074,-0.9,-0.3,-1.2,0.1,
12,Dave Robisch,28,C,23,598,13.0,.469,.354,7.5,21.0,14.1,10.6,1.5,1.3,14.0,15.3,0.4,0.7,1.1,.090,-0.5,0.4,-0.1,0.3,
13,Steve Green,24,SF,44,449,9.9,.495,.438,6.6,8.9,7.7,8.8,1.4,0.2,13.1,14.7,0.4,0.2,0.7,.074,-1.9,-0.5,-2.5,-0.1,
14,Mel Bennett,23,PF,31,285,7.6,.367,.556,16.3,15.4,15.9,9.6,1.7,1.3,22.9,17.2,-0.4,0.3,-0.1,-0.014,-4.2,-0.8,-5.0,-0.2,
15,Johnny Neumann,26,SG,20,216,7.4,.442,.209,2.2,4.2,3.2,17.3,1.2,0.2,19.0,20.2,-0.2,0.1,-0.1,-0.029,-3.6,-1.4,-5.0,-0.2,
16,Bobby Wilson,27,SG,12,86,6.6,.402,.083,6.6,7.0,6.8,12.9,1.0,0.6,13.9,18.9,-0.1,0.0,0.0,-0.015,-4.0,-0.6,-4.6,-0.1,
17,Willie Smith,24,PG,1,7,2.0,,,0.0,0.0,0.0,16.2,0.0,0.0,,0.0,0.0,0.0,0.0,.034,-4.5,0.0,-4.5,0.0,
