Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Scott Wedman,25,SF,81,2961,15.9,.550,.213,5.0,11.1,8.0,9.7,1.5,0.4,10.8,18.8,6.0,1.9,7.8,.127,1.3,-0.5,0.8,2.1,
2,Ron Boone,31,SG,82,2653,14.0,.504,.297,4.3,6.1,5.2,16.8,1.8,0.2,17.4,25.0,1.3,1.3,2.6,.047,-0.3,-1.6,-1.9,0.0,
3,Richard Washington,22,PF,78,2231,14.2,.511,.223,8.6,21.4,15.0,7.4,1.5,1.7,16.3,20.0,1.3,2.6,3.9,.085,-1.1,-0.2,-1.3,0.4,
4,Lucius Allen,30,PG,77,2147,13.3,.488,.260,3.1,7.8,5.5,22.8,1.9,0.7,18.7,20.6,0.7,1.4,2.1,.046,-0.3,-0.7,-1.0,0.6,
5,Sam Lacey,29,C,77,2131,15.2,.494,.317,7.4,23.5,15.4,18.0,2.5,2.7,21.7,15.3,1.0,3.4,4.3,.098,0.2,2.8,3.0,2.7,
6,Otis Birdsong,22,SG,73,1878,17.1,.530,.325,3.8,5.7,4.8,14.1,1.7,0.3,11.7,25.1,3.3,0.9,4.2,.108,1.3,-1.0,0.3,1.1,
7,Bill Robinzine,25,PF,82,1748,13.6,.512,.400,10.1,21.5,15.8,5.6,1.9,0.3,17.8,21.1,1.0,2.0,3.0,.082,-1.8,-0.9,-2.7,-0.3,
8,Tom Burleson,25,C,76,1525,16.5,.515,.472,11.4,21.0,16.2,11.3,1.8,2.8,16.2,18.9,2.2,2.0,4.3,.134,-0.1,1.0,0.9,1.1,
9,John Kuester,22,PG,78,1215,12.2,.516,.329,1.6,8.0,4.8,26.3,2.1,0.0,21.0,14.5,1.1,0.8,1.9,.077,-1.4,-0.1,-1.5,0.1,
10,Bob Nash,27,SF,66,800,16.2,.544,.227,9.6,12.1,10.8,8.1,1.5,1.2,12.3,18.2,1.5,0.6,2.1,.123,1.6,-0.5,1.1,0.6,
11,Kevin Restani,26,PF,46,463,8.7,.441,.079,7.0,13.7,10.4,5.8,0.5,0.5,9.4,13.1,0.2,0.2,0.4,.042,-1.3,-1.4,-2.7,-0.1,
12,Louie Nelson,26,SG,8,53,2.4,.398,.786,1.9,3.9,2.9,11.1,1.7,1.0,29.8,19.3,-0.2,0.0,-0.1,-0.117,-4.6,-0.5,-5.1,-0.1,
13,Glenn Hansen,25,SG,3,9,-10.9,.000,.000,11.3,0.0,5.7,12.2,4.9,0.0,0.0,21.2,-0.1,0.0,-0.1,-0.336,-5.2,-0.1,-5.3,0.0,
14,Andre McCarter,24,PG,1,9,-7.2,.000,.000,0.0,11.4,5.7,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,-0.177,-4.8,-0.2,-5.0,0.0,
15,Bob Bigelow,24,SF,1,7,21.4,1.000,.000,29.1,44.0,36.5,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,.318,-4.2,0.0,-4.1,0.0,
