Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kareem Abdul-Jabbar,30,C,3,134,21.9,.526,.123,10.4,22.3,16.0,13.7,0.7,4.8,15.4,26.8,0.2,0.2,0.4,.130,2.5,1.3,3.8,0.2,
2,Jamaal Wilkes,24,SF,3,108,10.1,.489,.344,8.3,17.4,12.6,10.0,1.3,0.5,23.0,17.5,0.0,0.1,0.0,.018,-2.8,-0.7,-3.5,0.0,
3,Adrian Dantley,22,SF,3,104,22.4,.600,.486,8.6,17.0,12.6,15.3,2.3,1.5,12.4,18.4,0.3,0.1,0.5,.209,4.8,2.0,6.8,0.2,
4,Charlie Scott,29,SG,3,103,5.6,.345,.200,5.8,7.5,6.6,17.8,1.9,0.0,20.2,20.9,-0.2,0.0,-0.2,-0.079,-4.8,-1.9,-6.7,-0.1,
5,Lou Hudson,33,SG,3,93,11.4,.421,.211,7.5,2.4,5.1,13.2,2.6,0.0,10.7,19.7,0.1,0.0,0.1,.053,-1.3,-0.5,-1.7,0.0,
6,Norm Nixon,22,PG,3,92,11.4,.474,.125,4.3,6.0,5.1,22.8,2.1,0.6,16.5,13.0,0.1,0.0,0.1,.075,-1.9,0.8,-1.0,0.0,
7,Dave Robisch,28,C,3,47,25.5,.573,.208,16.9,9.4,13.4,3.5,1.0,1.1,0.0,22.0,0.2,0.0,0.3,.276,6.8,-1.5,5.3,0.1,
8,Kenny Carr,22,PF,2,17,1.1,.375,.000,0.0,26.1,12.3,0.0,2.9,0.0,27.3,25.5,-0.1,0.0,-0.1,-0.182,-10.8,-1.9,-12.7,0.0,
9,Tom Abernethy,23,SF,2,12,11.5,.410,.500,16.6,0.0,8.7,10.4,0.0,0.0,0.0,16.1,0.0,0.0,0.0,.123,0.5,-3.2,-2.7,0.0,
10,Don Ford,25,PF,1,10,-1.5,.000,.000,19.9,33.2,26.2,0.0,4.9,0.0,25.0,15.8,-0.1,0.0,0.0,-0.196,-11.4,-1.6,-13.0,0.0,
