Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Norm Nixon,22,PG,81,2779,14.1,.518,.161,1.6,7.0,4.4,26.0,2.2,0.1,19.0,18.5,2.3,2.1,4.5,.078,-0.6,-0.3,-0.9,0.8,ROY-5
2,Lou Hudson,33,SG,82,2283,14.2,.525,.178,3.7,4.7,4.2,11.6,1.9,0.3,12.3,20.9,2.8,1.3,4.2,.088,-0.2,-0.7,-1.0,0.6,
3,Kareem Abdul-Jabbar,30,C,62,2265,29.2,.589,.290,8.7,26.8,18.1,18.3,2.1,4.1,13.3,27.0,7.7,4.4,12.1,.257,6.5,2.9,9.3,6.5,"MVP-4,NBA2"
4,Adrian Dantley,22,SF,56,1985,19.8,.599,.575,9.1,11.6,10.4,12.6,1.6,0.2,15.1,21.0,6.1,1.6,7.7,.186,3.4,-0.7,2.6,2.3,
5,Don Ford,25,PF,79,1945,11.6,.497,.156,5.8,12.5,9.3,9.1,1.6,1.2,12.5,14.1,1.7,1.8,3.5,.087,-0.8,0.4,-0.4,0.8,
6,Jamaal Wilkes,24,SF,51,1490,16.1,.475,.235,8.0,17.7,13.0,16.1,2.3,0.7,13.3,21.0,1.3,2.0,3.3,.106,0.5,0.6,1.1,1.2,
7,Charlie Scott,29,SG,48,1393,12.3,.490,.279,2.9,7.8,5.4,21.6,1.9,0.4,18.9,19.8,0.5,1.0,1.6,.053,-1.4,-0.4,-1.8,0.1,
8,Tom Abernethy,23,SF,73,1317,15.6,.544,.275,8.5,12.0,10.3,9.7,1.9,0.8,9.9,14.9,2.9,1.3,4.1,.150,1.5,0.4,1.9,1.3,
9,Kermit Washington,26,PF,25,751,15.1,.492,.451,15.5,22.2,19.0,5.0,1.1,1.6,15.3,18.0,0.8,1.0,1.7,.111,0.0,-1.4,-1.4,0.1,
10,Kenny Carr,22,PF,52,733,9.2,.476,.281,7.7,20.9,14.5,4.7,1.1,1.0,20.8,22.8,-0.9,0.9,0.0,-0.001,-5.2,-1.4,-6.6,-0.9,
11,James Edwards,22,C,25,723,14.3,.499,.396,6.5,18.6,12.7,5.4,1.0,1.9,13.3,23.1,0.4,0.8,1.2,.079,-1.6,-0.9,-2.5,-0.1,
12,Dave Robisch,28,C,55,679,12.6,.465,.261,8.3,18.3,13.5,7.5,1.3,1.0,11.8,18.1,0.4,0.7,1.2,.083,-1.1,-0.7,-1.8,0.0,
13,Earl Tatum,24,SG,25,663,15.9,.516,.188,3.7,10.0,6.9,14.8,2.5,0.8,13.5,23.1,0.7,0.7,1.4,.099,-0.3,0.5,0.2,0.4,
14,Brad Davis,22,PG,33,334,10.5,.484,.403,1.3,9.2,5.4,29.1,2.0,0.3,29.2,14.0,0.0,0.3,0.3,.041,-2.3,-0.1,-2.4,0.0,
15,Ernie DiGregorio,27,PG,25,332,7.1,.450,.200,1.6,5.4,3.5,26.1,0.8,0.0,29.7,18.2,-0.5,0.1,-0.4,-0.052,-3.0,-2.7,-5.8,-0.3,
16,Don Chaney,31,SG,9,133,7.2,.401,.167,3.2,5.2,4.2,15.1,2.7,1.1,22.2,14.6,-0.1,0.1,0.0,-0.008,-3.2,0.5,-2.7,0.0,
