Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Marques Johnson,21,SF,9,321,27.2,.596,.418,11.9,24.9,18.6,13.8,1.4,2.7,7.2,23.8,1.4,0.5,1.9,.280,6.6,0.8,7.4,0.8,
2,Brian Winters,25,SG,9,305,18.1,.520,.164,1.4,8.9,5.2,27.4,1.8,1.3,14.1,26.4,0.3,0.3,0.6,.091,1.8,-0.5,1.3,0.3,
3,John Gianelli,27,C,9,290,9.5,.497,.441,6.0,15.0,10.6,5.5,1.2,1.9,15.6,11.2,0.1,0.3,0.4,.071,-1.6,0.2,-1.4,0.0,
4,Dave Meyers,24,PF,9,279,14.4,.494,.424,10.6,17.5,14.1,15.6,1.1,2.0,17.5,20.0,0.2,0.3,0.5,.083,-0.1,-0.1,-0.2,0.1,
5,Quinn Buckner,23,PG,9,257,12.6,.525,.267,1.3,9.7,5.6,30.3,3.1,0.2,28.9,20.5,-0.2,0.3,0.1,.021,-2.3,0.0,-2.4,0.0,
6,Alex English,24,SF,9,208,20.9,.657,.410,8.4,13.0,10.7,8.5,1.3,1.7,11.5,19.6,0.7,0.2,0.9,.210,3.6,-0.1,3.5,0.3,
7,Junior Bridgeman,24,SF,9,178,13.0,.497,.088,3.7,7.0,5.4,8.6,2.3,0.6,7.8,22.5,0.1,0.2,0.3,.074,-2.2,-0.5,-2.8,0.0,
8,Lloyd Walton,24,PG,9,124,14.6,.516,.371,0.9,2.5,1.7,36.1,2.9,1.2,25.6,17.2,0.1,0.1,0.2,.063,1.2,0.2,1.3,0.1,
9,Kent Benson,23,C,9,103,7.1,.503,.478,5.3,10.1,7.7,3.4,2.2,1.5,17.7,12.8,0.0,0.1,0.1,.044,-4.5,0.3,-4.2,-0.1,
10,Ernie Grunfeld,22,SG,7,77,18.4,.556,.156,5.7,9.4,7.6,29.7,1.7,0.7,17.0,20.9,0.1,0.1,0.2,.128,3.0,0.5,3.5,0.1,
11,Jim Eakins,31,C,3,18,-1.0,.200,.000,6.1,0.0,3.0,6.1,2.5,0.0,16.7,13.0,-0.1,0.0,0.0,-0.126,-7.1,-2.4,-9.5,0.0,
