Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Marques Johnson,21,SF,80,,2765,21.3,.563,.340,10.9,21.6,16.2,9.5,1.5,1.9,11.2,21.4,7.7,3.0,10.6,.185,3.3,-0.5,2.7,3.3,"MVP-10,ROY-2"
2,Brian Winters,25,SG,80,,2751,16.4,.503,.201,3.3,6.4,4.8,20.2,2.0,0.5,13.0,25.1,3.7,1.4,5.1,.089,0.6,-1.2,-0.6,1.0,AS
3,Dave Meyers,24,PF,80,,2416,15.4,.522,.464,6.2,17.5,11.7,12.9,1.6,1.0,15.9,21.1,2.9,2.1,5.0,.099,0.1,-0.5,-0.4,1.0,
4,John Gianelli,27,C,82,,2327,11.7,.507,.196,7.4,15.9,11.5,10.1,1.0,2.0,17.7,13.5,1.4,1.8,3.2,.066,-0.6,0.0,-0.6,0.8,
5,Quinn Buckner,23,PG,82,82,2072,14.4,.499,.303,3.9,8.8,6.3,27.5,4.0,0.5,23.1,18.1,0.8,2.3,3.2,.073,-1.4,1.4,0.1,1.1,
6,Junior Bridgeman,24,SF,82,,1876,17.0,.539,.216,6.3,10.1,8.2,13.4,1.7,0.8,14.5,24.5,2.9,1.1,4.0,.102,1.1,-1.2,-0.1,0.9,
7,Alex English,24,SF,82,,1552,17.4,.568,.226,9.6,17.4,13.4,11.4,1.2,1.8,16.4,20.3,2.7,1.3,4.0,.123,1.1,-0.5,0.6,1.0,
8,Kent Benson,23,C,69,,1288,13.2,.497,.298,7.2,17.2,12.1,9.8,2.4,2.2,18.2,19.3,0.2,1.5,1.7,.064,-1.8,0.6,-1.2,0.3,
9,Lloyd Walton,24,PG,76,,1264,11.3,.476,.241,2.1,4.3,3.2,24.1,2.7,0.5,21.9,14.6,0.3,0.8,1.1,.040,-1.4,-0.1,-1.4,0.2,
10,Ernie Grunfeld,22,SG,73,,1261,12.0,.479,.310,5.8,10.6,8.1,14.6,1.9,0.8,15.8,18.7,0.6,0.9,1.4,.055,-1.4,-0.5,-1.9,0.0,
11,Jim Eakins,31,C,17,,155,11.5,.539,.765,8.0,11.8,9.9,9.0,1.1,2.3,16.5,13.3,0.2,0.1,0.3,.108,-2.2,0.2,-2.1,0.0,
12,Scott Lloyd,25,C,14,,112,7.3,.401,.303,6.5,18.3,12.3,9.5,1.2,2.3,15.8,15.0,-0.1,0.1,0.0,.017,-4.2,0.1,-4.0,-0.1,
13,Kevin Restani,26,PF,8,,84,10.8,.450,.071,4.9,12.8,8.8,13.5,0.0,0.6,6.5,13.9,0.1,0.0,0.1,.055,-2.0,-0.7,-2.7,0.0,
14,Rich Laurel,23,SG,10,,57,7.5,.366,.129,10.9,7.6,9.3,6.8,2.3,0.9,10.9,24.5,-0.1,0.0,0.0,-0.034,-4.4,-0.7,-5.1,-0.1,
