Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Truck Robinson,26,PF,82,82,3638,15.7,.481,.340,8.0,25.8,17.0,6.8,0.9,1.1,13.5,23.3,1.5,5.0,6.5,.086,-0.5,-0.9,-1.5,0.5,"MVP-8,AS,NBA1"
2,Gail Goodrich,34,SG,81,,2553,16.2,.545,.316,2.9,3.8,3.3,21.8,1.4,0.4,14.6,20.8,4.9,1.4,6.3,.118,1.1,-0.8,0.3,1.5,
3,Rich Kelley,24,C,82,,2119,17.8,.571,.480,11.5,22.8,17.2,14.5,1.9,3.0,23.6,17.1,2.8,3.7,6.4,.146,0.3,2.4,2.6,2.5,
4,Aaron James,25,SF,80,,2118,13.3,.523,.182,7.5,11.5,9.5,7.6,0.8,0.5,12.3,19.0,2.7,1.5,4.3,.096,-0.7,-1.0,-1.7,0.1,
5,Pete Maravich,30,SG,50,,2041,17.6,.492,.220,2.3,6.0,4.2,26.1,2.2,0.2,15.3,30.1,1.3,1.7,2.9,.069,1.1,-1.2,-0.1,1.0,"AS,NBA2"
6,Paul Griffin,24,PF,82,,1853,10.9,.506,.439,8.3,18.0,13.2,11.4,2.1,1.2,26.0,11.8,0.3,2.6,2.9,.076,-1.9,1.8,-0.1,0.9,
7,Jim McElroy,24,PG,74,,1760,13.6,.512,.275,2.4,5.6,4.0,22.5,1.5,1.0,17.2,17.7,1.7,1.2,2.9,.078,-0.1,-0.2,-0.3,0.8,
8,Joe Meriweather,24,C,54,,1277,13.7,.506,.324,10.3,17.6,14.0,6.1,0.6,4.6,16.7,16.7,0.8,1.7,2.6,.096,-2.0,1.1,-1.0,0.3,
9,Slick Watts,26,PG,39,,775,12.7,.423,.360,4.9,7.2,6.1,27.3,3.1,1.1,18.7,19.9,-0.3,0.9,0.7,.041,-1.7,1.3,-0.4,0.3,
10,Gus Bailey,26,SG,48,,449,11.8,.460,.482,9.6,8.0,8.8,11.6,1.8,1.7,16.4,17.0,0.1,0.4,0.5,.059,-0.8,0.4,-0.4,0.2,
11,Nate Williams,27,SG,27,,434,14.4,.458,.173,6.1,13.7,10.0,11.3,2.1,1.4,9.8,22.3,0.3,0.5,0.8,.091,-1.2,0.7,-0.5,0.2,
12,Fred Saunders,26,SF,30,,400,11.8,.496,.133,6.6,11.1,8.9,12.0,1.6,1.2,12.7,16.4,0.4,0.4,0.8,.092,-1.8,0.8,-1.1,0.1,
13,Freddie Boyd,27,SG,21,,363,7.7,.426,.200,0.5,4.4,2.5,16.9,1.1,0.4,14.3,14.6,-0.1,0.2,0.1,.013,-3.1,-0.6,-3.7,-0.2,
