Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Bob McAdoo,26,C,6,238,17.6,.506,.278,4.4,21.7,12.4,13.4,1.3,2.6,14.0,26.0,0.1,0.1,0.2,.045,0.3,0.6,0.9,0.2,
2,Spencer Haywood,28,PF,6,177,17.0,.540,.129,10.1,14.3,12.0,9.3,0.5,1.5,10.0,21.2,0.4,0.0,0.4,.100,0.8,-1.2,-0.4,0.1,
3,Butch Beard,30,PG,6,160,13.2,.515,.208,4.1,9.6,6.7,20.4,2.7,0.6,17.4,14.9,0.1,0.1,0.2,.056,-1.7,1.7,-0.1,0.1,
4,Lonnie Shelton,22,PF,6,151,14.8,.554,.143,11.2,18.9,14.8,14.5,0.6,1.7,19.0,18.3,0.2,0.0,0.2,.068,-1.1,0.0,-1.0,0.0,
5,Earl Monroe,33,SG,6,145,9.1,.422,.290,0.6,3.0,1.7,14.5,1.8,0.0,7.9,19.7,0.0,0.0,-0.1,-0.018,-3.7,-0.9,-4.7,-0.1,
6,Ray Williams,23,PG,6,140,22.3,.587,.333,4.0,7.1,5.4,32.4,1.9,0.0,16.0,28.6,0.4,0.0,0.4,.145,3.0,-0.2,2.8,0.2,
7,Jim McMillian,29,SF,6,134,13.4,.476,.113,6.3,9.8,7.9,10.3,2.3,0.0,11.2,17.6,0.1,0.0,0.1,.034,-0.2,-0.3,-0.5,0.1,
8,Jim Cleamons,28,PG,6,127,9.0,.440,.167,3.7,6.9,5.2,20.9,1.0,0.0,17.2,13.8,0.0,0.0,0.0,-0.001,-2.6,-0.9,-3.5,0.0,
9,Glen Gondrezick,22,SF,6,70,13.2,.555,.421,9.4,15.7,12.3,10.3,3.1,0.0,21.0,15.3,0.1,0.0,0.1,.067,-2.0,1.2,-0.8,0.0,
10,Phil Jackson,32,PF,6,50,7.8,.564,.750,7.5,13.2,10.1,6.7,2.6,0.0,27.3,11.0,0.0,0.0,0.0,.031,-4.8,0.9,-3.9,0.0,
11,Toby Knight,22,SF,6,48,9.6,.340,.400,17.6,22.9,20.1,2.4,0.9,4.3,11.3,20.8,-0.1,0.0,0.0,-0.042,-4.9,-1.9,-6.8,-0.1,
