Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Julius Erving,27,SF,10,358,21.2,.533,.311,11.8,14.0,13.0,17.0,1.8,2.4,14.6,25.3,0.6,0.6,1.3,.171,4.8,0.3,5.0,0.6,
2,Doug Collins,26,SG,10,342,14.8,.547,.297,2.5,5.9,4.3,11.9,0.4,0.0,11.0,23.2,0.6,0.3,0.9,.124,0.9,-2.4,-1.5,0.0,
3,Caldwell Jones,27,C,10,301,11.8,.530,.179,7.7,24.5,16.9,5.7,0.7,4.8,23.9,10.0,0.0,0.7,0.7,.112,-0.7,2.0,1.3,0.3,
4,Henry Bibby,28,PG,10,289,10.1,.469,.268,3.3,6.4,5.0,21.1,1.8,0.0,19.4,14.9,0.1,0.3,0.4,.066,-1.0,-0.5,-1.5,0.0,
5,George McGinnis,27,PF,10,273,15.0,.502,.392,9.3,17.3,13.7,15.5,2.4,0.2,20.6,25.5,0.0,0.5,0.5,.087,-0.6,-0.3,-0.9,0.1,
6,World B. Free,24,SG,10,268,15.4,.504,.653,3.9,6.9,5.5,19.4,0.7,1.1,14.0,26.2,0.3,0.3,0.6,.105,1.5,-1.9,-0.5,0.1,
7,Steve Mix,30,SF,10,235,25.1,.674,.524,7.6,10.8,9.4,22.1,2.8,0.2,10.6,18.2,1.1,0.4,1.5,.311,7.0,1.9,9.0,0.6,
8,Darryl Dawkins,21,C,10,180,11.9,.521,.321,3.5,24.8,15.2,7.4,0.7,4.0,18.8,15.6,0.0,0.4,0.4,.097,-2.4,1.8,-0.6,0.1,
9,Joe Bryant,23,PF,10,122,12.6,.482,.234,6.0,12.9,9.8,10.1,2.2,0.4,8.8,17.6,0.1,0.2,0.3,.126,-0.9,0.3,-0.6,0.0,
10,Ted McClain,31,PG,5,31,11.9,.300,.000,6.8,11.3,9.3,40.0,7.1,0.0,33.3,18.3,-0.1,0.1,0.0,-0.013,-1.7,5.0,3.2,0.0,
11,Harvey Catchings,26,C,7,26,16.5,.461,.500,12.2,20.2,16.6,0.0,1.7,5.6,0.0,14.2,0.0,0.1,0.1,.200,0.9,0.7,1.6,0.0,
