Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Doug Collins,26,SG,79,77,2770,16.9,.568,.269,3.3,5.0,4.2,16.9,2.0,0.5,15.5,22.1,5.6,2.0,7.6,.132,1.5,-0.5,0.9,2.1,AS
2,George McGinnis,27,PF,78,76,2533,20.3,.521,.452,11.7,20.4,16.2,17.0,2.4,0.5,17.0,27.4,4.1,3.8,7.9,.150,2.0,-0.2,1.8,2.5,
3,Henry Bibby,28,PG,82,82,2518,11.7,.492,.332,2.6,7.3,5.0,23.0,1.6,0.1,16.8,13.6,2.9,1.7,4.7,.089,-0.4,-0.3,-0.7,0.8,
4,Julius Erving,27,SF,74,68,2429,21.7,.555,.297,7.7,12.2,10.0,17.3,2.5,2.0,14.7,25.1,6.0,3.1,9.1,.179,4.0,0.7,4.8,4.1,"MVP-10,AS,NBA1"
5,World B. Free,24,SG,76,5,2050,17.4,.539,.656,4.7,5.7,5.2,20.6,1.5,1.0,15.3,24.1,4.6,1.4,6.0,.140,2.1,-1.0,1.1,1.6,
6,Steve Mix,30,SF,82,20,1819,14.8,.576,.393,5.5,10.8,8.3,12.7,2.1,0.1,16.6,16.4,3.3,1.7,5.1,.134,0.8,0.2,1.0,1.4,
7,Darryl Dawkins,21,C,70,11,1722,18.0,.608,.381,7.1,24.9,16.3,6.8,0.9,3.7,15.4,17.5,3.6,2.7,6.4,.178,0.7,1.1,1.8,1.7,
8,Caldwell Jones,27,C,80,69,1636,11.3,.509,.426,10.6,24.2,17.6,6.9,0.7,4.0,23.1,12.8,0.5,2.5,3.1,.090,-2.1,1.2,-1.0,0.4,
9,Joe Bryant,23,PF,81,0,1236,12.6,.492,.330,8.8,14.0,11.5,13.7,2.0,1.0,18.7,18.8,0.8,1.4,2.2,.086,-1.1,0.2,-0.9,0.3,
10,Harvey Catchings,26,C,61,2,748,11.2,.430,.309,14.8,19.0,16.9,5.5,1.2,4.6,17.9,12.5,0.2,1.1,1.4,.087,-1.9,0.9,-1.0,0.2,
11,Ted McClain,31,PG,29,0,293,9.3,.453,.104,3.2,9.3,6.4,15.0,2.4,0.7,18.0,15.8,-0.1,0.3,0.3,.041,-2.8,0.7,-2.1,0.0,
12,Wilson Washington,22,PF,14,0,38,5.5,.439,.316,5.5,30.9,18.7,3.7,1.2,2.7,31.6,31.5,-0.2,0.1,-0.1,-0.184,-5.4,-0.4,-5.8,-0.1,
13,Glenn Mosley,22,PF,6,0,21,0.6,.404,.538,0.0,23.3,12.1,14.1,0.0,0.0,23.7,38.0,-0.1,0.0,-0.1,-0.228,-5.4,-0.5,-5.9,-0.1,
14,Mike Dunleavy,23,PG,4,0,17,17.4,.508,.286,0.0,5.8,3.0,47.8,2.6,0.0,27.6,24.2,0.0,0.0,0.0,.061,-3.7,-0.1,-3.8,0.0,
