Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Lionel Hollins,24,PG,81,2741,14.3,.482,.250,3.1,7.3,5.3,19.6,2.6,0.6,15.3,22.7,1.5,3.7,5.2,.091,-0.6,0.6,-0.1,1.3,AS
2,Johnny Davis,22,SG,82,2188,12.1,.511,.300,3.2,5.0,4.1,13.3,1.7,0.3,15.0,18.2,2.1,2.2,4.3,.094,-0.8,-0.2,-1.0,0.6,
3,Bob Gross,24,SF,72,2163,16.9,.569,.264,8.9,10.4,9.6,16.2,2.1,1.3,18.2,18.0,4.0,3.1,7.1,.158,2.1,1.1,3.2,2.9,
4,Maurice Lucas,25,PF,68,2119,17.3,.502,.273,9.3,20.9,15.3,11.9,1.3,1.4,14.8,24.2,2.2,3.5,5.8,.131,0.7,-0.1,0.6,1.4,"MVP-6,AS,NBA2"
5,Bill Walton,25,C,58,1929,24.8,.554,.279,6.5,34.2,20.7,22.8,1.4,4.1,17.2,24.5,3.6,4.8,8.4,.209,4.4,3.7,8.1,4.9,"MVP-1,AS,NBA1"
6,Dave Twardzik,27,PG,75,1820,14.3,.651,.572,2.1,5.5,3.8,17.5,2.7,0.1,23.6,14.5,3.2,2.3,5.5,.146,-0.2,1.3,1.1,1.4,
7,Tom Owens,28,C,82,1714,17.4,.546,.435,12.1,20.6,16.4,13.0,0.9,1.2,16.6,21.1,3.4,2.6,6.0,.169,0.9,0.0,1.0,1.3,
8,Corky Calhoun,27,SF,79,1370,10.8,.522,.208,5.7,10.6,8.2,8.2,1.4,0.6,13.8,13.3,1.5,1.6,3.1,.109,-0.6,0.4,-0.2,0.6,
9,Lloyd Neal,27,PF,61,1174,19.8,.543,.328,10.5,22.3,16.5,10.3,1.1,1.0,13.4,24.0,2.4,1.9,4.3,.178,2.1,-0.4,1.8,1.1,
10,Larry Steele,28,SG,65,1132,13.8,.519,.273,3.2,7.1,5.2,10.7,2.4,0.2,11.6,19.8,1.6,1.4,3.0,.127,-1.0,0.8,-0.3,0.5,
11,T.R. Dunn,22,SG,63,768,11.7,.448,.233,8.7,11.1,10.0,7.6,2.8,0.6,11.7,15.4,0.4,1.2,1.6,.099,-0.7,1.1,0.4,0.5,
12,Willie Norwood,30,SF,19,351,6.6,.461,.465,6.7,12.5,9.6,6.9,2.4,0.0,24.6,17.8,-0.4,0.5,0.1,.012,-4.5,0.1,-4.4,-0.2,
13,Dale Schlueter,32,C,10,109,6.0,.464,.947,4.9,15.0,10.0,19.9,1.3,1.0,35.8,15.2,-0.2,0.2,0.0,-0.006,-3.9,0.7,-3.2,0.0,
14,Wally Walker,23,SF,9,101,9.5,.483,.195,7.4,10.1,8.8,11.1,0.9,0.0,19.8,21.7,0.0,0.1,0.1,.024,-3.0,-0.8,-3.8,-0.1,
15,Jacky Dorsey,23,SF,4,51,14.4,.524,.579,12.5,8.0,10.2,8.1,0.0,1.1,11.2,20.8,0.1,0.0,0.2,.145,-2.5,-0.5,-3.0,0.0,
