Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Larry Kenon,25,SF,81,,2869,19.0,.533,.227,9.4,18.5,14.1,13.1,1.8,0.4,15.1,24.9,4.5,3.0,7.5,.126,1.7,-1.2,0.5,1.8,AS
2,George Gervin,25,SG,82,82,2857,24.7,.594,.377,4.5,10.6,7.7,16.1,2.1,1.9,14.0,29.5,9.2,2.7,12.0,.201,4.8,0.0,4.8,4.9,"MVP-2,AS,NBA1"
3,Billy Paultz,29,C,80,,2479,19.8,.568,.313,7.6,20.4,14.3,11.5,0.7,3.8,13.0,20.0,5.6,3.0,8.6,.166,2.2,0.7,2.9,3.0,
4,Mike Gale,27,SG,70,,2091,13.3,.510,.172,3.0,8.0,5.6,21.7,3.3,0.6,22.0,14.8,1.1,2.2,3.3,.076,-0.7,1.3,0.5,1.3,
5,Louie Dampier,33,PG,82,,2037,13.7,.531,.153,1.3,4.8,3.1,17.6,1.9,0.3,11.9,15.2,3.0,1.0,4.0,.094,0.2,-0.4,-0.2,0.9,
6,Coby Dietrick,29,PF,79,,1876,11.3,.496,.210,4.3,15.3,10.0,14.0,1.9,1.4,19.5,15.2,0.5,2.0,2.5,.063,-1.3,0.7,-0.6,0.7,
7,Mark Olberding,21,PF,79,,1773,12.1,.557,.473,6.4,15.2,11.0,8.9,1.1,0.7,16.9,15.2,2.5,1.4,3.9,.105,-1.0,-0.6,-1.5,0.2,
8,Allan Bristow,26,SF,82,,1481,14.6,.529,.387,7.3,10.7,9.1,16.7,2.1,0.1,18.8,20.2,1.6,1.2,2.8,.089,0.0,-0.7,-0.7,0.5,
9,Mike Green,26,C,63,,1132,14.3,.500,.260,10.5,17.4,14.1,7.4,0.9,3.8,14.9,19.1,1.0,1.3,2.2,.095,-1.5,-0.1,-1.6,0.1,
10,Mo Layton,29,PG,41,,498,11.6,.524,.077,0.9,5.6,3.4,27.5,1.9,0.4,25.4,18.1,0.0,0.3,0.3,.031,-1.5,-1.6,-3.1,-0.1,
11,James Silas,28,PG,37,,311,13.3,.565,.753,1.4,6.1,3.9,14.9,1.6,0.2,18.9,19.8,0.5,0.1,0.6,.095,-1.4,-1.2,-2.6,0.0,
12,Jim Eakins,31,C,16,,251,11.1,.665,.654,7.4,11.6,9.6,8.1,0.5,2.0,26.4,14.0,0.4,0.2,0.5,.103,-2.1,-0.2,-2.2,0.0,
13,Scott Sims,22,PG,12,,95,5.2,.460,.577,5.8,8.5,7.2,24.7,1.4,0.0,36.8,21.0,-0.2,0.1,-0.2,-0.088,-4.5,-1.2,-5.7,-0.1,
14,George Karl,26,PG,4,,30,3.4,.436,.333,0.0,16.7,8.7,18.7,1.5,0.0,36.8,14.0,-0.1,0.0,0.0,-0.048,-4.7,-0.1,-4.7,0.0,
