Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Marvin Webster,25,C,82,2910,17.0,.543,.542,12.1,24.6,18.1,9.6,0.8,3.0,19.6,17.2,3.7,5.0,8.7,.143,0.7,0.8,1.5,2.6,MVP-10
2,Gus Williams,24,PG,79,2572,18.1,.491,.208,3.1,7.1,5.1,18.0,3.3,0.9,11.5,24.4,3.8,3.9,7.7,.143,1.2,1.9,3.1,3.3,
3,Jack Sikma,22,PF,82,2238,13.5,.509,.328,8.5,22.9,15.4,8.3,1.4,1.0,17.8,17.8,1.7,3.6,5.4,.115,-1.4,0.5,-0.9,0.6,ROY-4
4,Dennis Johnson,23,SG,81,2209,15.6,.486,.461,6.7,6.8,6.8,14.8,2.4,1.2,13.4,21.1,2.9,2.9,5.8,.127,0.7,1.1,1.8,2.1,
5,Paul Silas,34,PF,82,2172,10.2,.437,.401,13.0,18.4,15.6,8.5,1.4,0.4,21.8,12.2,0.0,3.0,3.1,.067,-1.3,0.1,-1.2,0.4,
6,Fred Brown,29,SG,72,1965,19.6,.528,.188,3.0,6.9,4.9,19.9,2.6,0.7,12.7,25.0,4.1,2.5,6.7,.163,2.5,1.0,3.5,2.8,
7,John Johnson,30,SF,76,1812,11.9,.453,.212,5.4,12.1,8.6,17.0,1.1,0.6,15.6,22.3,0.2,2.0,2.1,.057,-1.3,-0.6,-2.0,0.0,
8,Bruce Seals,24,SF,73,1322,10.3,.455,.318,4.6,13.2,8.7,8.8,1.4,1.3,14.1,21.1,-0.1,1.7,1.6,.059,-3.2,0.2,-3.0,-0.3,
9,Wally Walker,23,SF,68,1003,12.5,.469,.267,7.8,12.9,10.2,10.0,1.1,0.5,12.3,20.3,0.7,1.1,1.9,.090,-1.1,-0.6,-1.6,0.1,
10,Slick Watts,26,PG,32,809,9.3,.423,.195,2.5,7.9,5.1,22.4,3.0,0.9,23.8,18.2,-1.0,1.2,0.2,.009,-3.5,1.2,-2.3,-0.1,
11,Joe Hassett,22,SG,48,404,11.9,.457,.059,3.4,5.8,4.5,15.7,2.4,0.0,13.9,23.0,0.0,0.5,0.5,.054,-2.4,0.1,-2.3,0.0,
12,Mike Green,26,C,9,250,14.2,.532,.356,8.6,14.0,11.2,5.7,1.1,2.8,17.9,18.7,0.2,0.3,0.6,.106,-0.9,0.4,-0.5,0.1,
13,Al Fleming,23,SF,20,97,10.7,.520,.548,13.1,18.6,15.7,10.1,0.0,2.8,29.4,21.4,-0.1,0.1,0.0,.018,-3.9,-0.1,-4.1,-0.1,
14,Willie Wise,30,SF,2,10,-5.9,.105,1.333,19.5,10.6,15.3,0.0,0.0,0.0,0.0,18.1,-0.1,0.0,0.0,-0.208,-4.8,-0.4,-5.2,0.0,
15,Dean Tolson,26,PF,1,7,-7.1,.000,.000,0.0,0.0,0.0,32.8,0.0,0.0,50.0,10.9,0.0,0.0,0.0,-0.196,-4.8,0.1,-4.7,0.0,
