Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Dan Roundfield,25,PF,9,338,20.3,.517,.338,13.9,17.2,15.7,11.2,1.2,3.6,13.1,21.9,0.7,0.4,1.2,.167,2.6,0.9,3.5,0.5,
2,John Drew,24,SF,9,275,15.5,.479,.351,7.8,13.7,10.9,4.0,1.7,0.8,9.6,25.6,0.3,0.3,0.6,.106,-0.1,-1.0,-1.1,0.1,
3,Armond Hill,25,PG,9,267,8.6,.433,.169,0.8,5.3,3.2,25.5,2.3,0.2,23.2,15.7,-0.2,0.1,0.0,-0.006,-3.0,0.0,-3.0,-0.1,
4,Eddie Johnson,23,SG,9,262,19.3,.532,.195,3.3,5.4,4.4,28.9,0.8,0.4,12.0,25.4,0.7,0.0,0.7,.127,4.3,-1.3,3.0,0.3,
5,Terry Furlow,24,SG,9,244,21.0,.543,.248,4.8,8.1,6.6,19.3,1.5,0.4,8.7,23.7,0.8,0.1,0.9,.181,5.1,0.1,5.2,0.4,
6,Steve Hawes,28,PF,9,243,18.7,.516,.148,11.9,13.9,13.0,17.6,1.7,0.7,5.5,15.8,0.7,0.2,1.0,.192,3.9,1.1,5.0,0.4,
7,Tree Rollins,23,C,9,212,12.1,.450,.255,9.6,23.1,16.8,3.2,0.7,6.0,19.8,14.1,-0.1,0.4,0.3,.063,-2.5,2.0,-0.5,0.1,
8,Tom McMillen,26,C,9,163,11.8,.515,.413,9.2,11.5,10.4,6.0,0.6,0.3,12.8,16.1,0.3,0.1,0.3,.098,-0.5,-1.3,-1.8,0.0,
9,Charlie Criss,30,PG,9,99,14.3,.494,.345,2.2,2.8,2.5,22.4,1.5,0.0,8.2,15.5,0.2,0.0,0.2,.113,1.6,-0.1,1.5,0.1,
10,Jack Givens,22,SF,9,81,7.5,.367,.100,9.3,16.2,13.0,5.2,0.6,1.3,13.8,18.9,-0.1,0.1,0.0,-0.017,-3.6,-1.4,-5.0,-0.1,
11,Rick Wilson,22,SG,1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.023,-3.2,-2.1,-5.3,0.0,
