Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Campy Russell,27,SF,74,,2859,18.6,.542,.412,5.3,14.5,9.6,17.6,1.6,0.5,14.7,24.4,5.0,1.6,6.7,.112,2.4,-0.8,1.6,2.6,AS
2,Jim Chones,29,C,82,82,2850,13.7,.472,.200,9.4,23.8,16.2,8.6,0.8,2.0,13.8,18.9,1.0,2.3,3.3,.056,-0.8,-1.0,-1.8,0.1,
3,Austin Carr,30,SG,82,,2714,15.4,.529,.308,5.9,5.8,5.8,11.4,1.3,0.3,11.7,21.9,4.5,0.5,5.0,.088,1.0,-1.7,-0.7,0.9,
4,Foots Walker,27,PG,55,,1753,15.0,.527,.391,3.5,9.2,6.2,23.3,3.5,0.6,19.5,14.8,1.9,1.5,3.4,.093,-0.2,1.5,1.3,1.5,
5,Bingo Smith,32,SG,72,,1650,13.4,.485,.135,4.8,9.1,6.8,10.7,1.2,0.2,8.3,21.8,1.6,0.5,2.1,.061,-0.7,-1.6,-2.3,-0.1,
6,Mike Mitchell,23,SF,80,,1576,16.8,.545,.252,8.3,14.9,11.4,5.7,1.5,1.0,11.5,22.4,2.6,1.0,3.6,.111,0.5,-1.1,-0.6,0.5,
7,Jim Brewer,27,PF,55,,1301,10.1,.448,.185,9.9,21.9,15.6,7.0,1.7,2.4,21.8,10.9,-0.3,1.3,1.0,.038,-1.9,0.6,-1.2,0.3,
8,Terry Furlow,24,SG,49,,1110,17.0,.523,.220,4.1,5.5,4.7,14.2,1.7,0.8,12.2,25.5,1.4,0.4,1.8,.078,1.6,-1.3,0.3,0.6,
9,Kenny Higgs,24,PG,68,,1050,12.4,.517,.398,1.8,9.3,5.3,17.2,2.9,0.6,12.5,14.2,1.3,0.8,2.2,.098,-2.4,1.8,-0.6,0.4,
10,John Lambert,26,PF,70,,1030,10.9,.469,.167,11.6,19.7,15.4,5.5,1.1,1.5,15.5,16.1,0.2,0.8,0.9,.044,-2.6,-1.2,-3.8,-0.5,
11,Butch Lee,22,PG,33,,782,15.7,.511,.352,2.9,6.7,4.7,22.5,1.8,0.0,13.5,21.8,1.1,0.2,1.3,.081,0.7,-1.4,-0.7,0.3,
12,Harry Davis,23,SF,40,,394,10.6,.471,.281,7.1,11.5,9.2,5.5,1.5,1.1,11.8,19.7,0.1,0.2,0.3,.038,-2.9,-1.0,-3.9,-0.2,
13,Elmore Smith,29,C,24,,332,14.5,.551,.200,14.0,21.4,17.5,5.6,1.0,2.7,22.9,22.0,0.0,0.3,0.3,.046,-2.6,-1.0,-3.6,-0.1,
14,Walt Frazier,33,PG,12,,279,12.9,.482,.221,2.6,5.4,3.9,16.2,2.2,0.4,14.1,22.2,0.1,0.1,0.2,.029,-1.3,-0.8,-2.1,0.0,
