Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,M.L. Carr,28,SF,80,,3207,16.3,.561,.381,6.9,12.4,9.5,10.8,2.8,0.7,16.0,18.9,4.5,3.4,7.9,.118,0.6,0.8,1.4,2.8,
2,Kevin Porter,28,PG,82,82,3064,17.2,.513,.240,2.0,5.2,3.5,47.0,2.3,0.1,21.5,19.4,4.3,1.9,6.2,.097,2.2,-0.8,1.4,2.6,
3,Terry Tyler,22,PF,82,,2560,15.5,.507,.232,8.3,18.3,13.2,4.6,1.8,4.1,11.9,17.6,2.0,3.4,5.4,.101,-0.4,1.0,0.6,1.7,
4,John Long,22,SG,82,,2498,13.6,.498,.153,5.1,6.0,5.5,6.9,1.8,0.4,9.4,22.3,2.2,1.4,3.6,.070,-1.0,-1.0,-2.0,0.0,
5,Leon Douglas,24,C,78,,2215,12.1,.529,.470,11.3,20.2,15.6,4.3,0.8,1.3,18.4,17.7,1.1,2.0,3.1,.068,-2.3,-1.4,-3.7,-0.9,
6,Bob Lanier,30,C,53,,1835,21.7,.564,.386,9.0,19.3,14.0,11.4,1.2,2.1,13.6,26.7,4.0,1.9,5.9,.155,3.2,-0.2,3.0,2.3,AS
7,Ben Poquette,23,PF,76,,1337,13.1,.481,.306,7.5,19.1,13.1,5.4,1.3,3.8,11.0,16.8,0.9,1.6,2.5,.091,-2.0,0.8,-1.2,0.3,
8,Earl Tatum,25,SG,76,,1195,12.1,.465,.109,3.4,7.3,5.3,8.5,2.9,1.4,11.8,23.0,-0.4,1.2,0.7,.030,-2.9,0.6,-2.2,-0.1,
9,Andre Wakefield,24,SG,71,,578,5.2,.417,.392,4.4,9.5,6.8,14.4,1.5,0.2,25.6,18.3,-1.1,0.3,-0.8,-0.067,-5.5,-1.5,-7.0,-0.7,
10,Rickey Green,24,PG,27,,431,10.2,.433,.379,3.5,6.2,4.8,18.7,2.6,0.1,17.6,22.1,-0.4,0.3,-0.1,-0.012,-3.2,-0.8,-4.0,-0.2,
11,Jim Brewer,27,PF,25,,310,9.2,.428,.250,11.0,24.6,17.6,4.9,1.9,1.7,22.2,10.5,-0.2,0.4,0.3,.040,-2.8,0.4,-2.4,0.0,
12,Essie Hollis,23,SF,25,,154,11.8,.430,.160,13.7,16.7,15.2,5.2,3.2,0.3,14.8,23.3,-0.1,0.2,0.1,.022,-3.8,-0.5,-4.3,-0.1,
13,Chris Ford,30,SG,3,,108,5.6,.428,.229,8.4,9.0,8.7,5.7,0.4,0.5,20.6,17.1,-0.1,0.0,-0.1,-0.043,-3.0,-1.3,-4.4,-0.1,
14,Otis Howard,22,PF,11,,91,15.1,.444,.511,14.4,24.8,19.4,6.0,1.0,1.1,8.3,25.2,0.0,0.1,0.1,.074,-2.8,-1.0,-3.8,0.0,
15,Steve Sheppard,24,SF,20,,76,14.2,.506,.600,11.9,14.1,13.0,6.8,1.8,0.7,11.2,17.8,0.1,0.1,0.2,.103,-2.7,-0.2,-2.9,0.0,
16,Larry McNeill,28,PF,11,,46,16.5,.574,.600,6.6,16.4,11.3,8.8,0.0,0.0,13.7,24.2,0.1,0.0,0.1,.148,-3.2,-0.4,-3.6,0.0,
17,Dennis Boyd,24,PG,5,,40,-4.0,.250,.000,0.0,5.4,2.6,20.3,0.0,0.0,33.3,17.1,-0.2,0.0,-0.2,-0.230,-5.3,-1.1,-6.4,-0.1,
18,Bubbles Hawkins,24,SG,4,,28,23.8,.483,.375,10.8,11.5,11.1,19.8,8.0,0.0,9.7,28.1,0.1,0.1,0.1,.221,-3.4,1.1,-2.3,0.1,
19,Gus Gerard,25,SF,2,,6,26.3,.387,.667,16.8,0.0,8.7,0.0,14.9,0.0,0.0,24.6,0.0,0.0,0.0,.193,-4.2,0.3,-3.9,0.0,
20,Ron Behagen,28,PF,1,,1,-60.3,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,38.1,0.0,0.0,0.0,-1.277,-5.1,0.0,-5.1,0.0,
