Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,John Lucas,25,PG,82,82,3095,16.9,.514,.280,2.2,6.4,4.3,33.0,2.3,0.2,16.5,20.2,4.7,3.2,7.9,.122,1.5,0.0,1.4,2.7,
2,Sonny Parker,23,SF,79,,2893,15.5,.537,.218,6.1,10.5,8.2,13.6,2.3,0.6,14.7,18.3,3.5,3.5,7.0,.116,0.8,1.0,1.8,2.8,
3,Robert Parish,25,C,76,,2411,20.8,.529,.253,11.7,29.2,20.4,6.9,1.9,4.9,15.9,24.6,1.8,5.4,7.1,.142,0.3,1.8,2.2,2.5,
4,Phil Smith,26,SG,59,,2288,16.1,.538,.261,2.2,7.7,5.0,16.2,2.1,0.5,13.5,22.3,2.8,2.4,5.2,.110,0.6,0.4,1.0,1.7,
5,Clifford Ray,30,C,82,,1917,12.5,.543,.433,11.9,22.3,17.0,8.9,1.2,1.4,22.6,14.3,1.0,2.8,3.8,.095,-1.6,0.6,-1.0,0.5,
6,Purvis Short,21,PF,75,,1703,13.1,.492,.110,8.0,14.0,10.9,8.1,1.5,0.4,12.1,21.8,0.7,1.9,2.6,.074,-1.7,-0.6,-2.3,-0.1,
7,Nate Williams,28,SG,81,,1299,14.7,.542,.206,5.6,11.6,8.6,6.7,2.0,0.2,13.1,22.2,1.4,1.5,2.9,.107,-0.9,-0.1,-1.0,0.3,
8,Tom Abernethy,24,PF,70,,1219,13.6,.550,.275,6.5,12.6,9.5,8.4,1.5,0.6,7.7,13.8,2.3,1.3,3.7,.144,0.2,0.7,0.9,0.9,
9,Jo Jo White,32,PG,29,,883,12.7,.520,.220,2.4,6.4,4.4,20.1,1.4,0.2,16.9,19.0,0.7,0.7,1.4,.075,-0.9,-0.5,-1.4,0.1,
10,Wayne Cooper,22,C,65,,795,12.5,.464,.208,12.1,25.8,18.9,3.5,0.4,3.0,14.0,18.9,0.0,1.2,1.2,.073,-2.9,-0.5,-3.4,-0.3,
11,Raymond Townsend,23,SG,65,,771,10.8,.477,.235,1.5,6.2,3.8,15.7,1.6,0.4,13.8,19.4,0.1,0.7,0.8,.048,-2.2,-0.1,-2.4,-0.1,
12,Wesley Cox,24,SF,31,,360,5.3,.447,.748,5.3,13.5,9.4,4.0,1.7,0.8,21.2,23.3,-0.9,0.4,-0.5,-0.061,-7.1,-0.8,-7.9,-0.6,
13,Tony Robertson,23,SG,12,,74,10.7,.409,.225,8.7,5.8,7.3,7.6,5.1,0.0,15.4,28.4,-0.2,0.1,0.0,-0.027,-4.4,0.4,-4.0,0.0,
14,Ray Epps,22,SF,13,,72,7.9,.490,.348,0.0,7.5,3.7,3.6,0.7,0.0,7.0,16.0,0.0,0.0,0.1,.057,-3.8,-0.4,-4.2,0.0,
