Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Moses Malone,23,C,2,78,28.7,.501,.439,26.1,21.9,24.3,4.9,0.6,5.4,14.1,27.7,0.2,0.1,0.3,.166,6.9,-2.2,4.7,0.1,
2,Calvin Murphy,30,PG,2,73,11.7,.372,.290,2.2,1.5,1.9,13.1,5.4,0.7,5.4,19.2,0.0,0.0,0.1,.042,-2.8,3.4,0.6,0.0,
3,Mike Newlin,30,SG,2,67,8.5,.510,.400,2.4,6.4,4.1,11.8,0.7,0.8,20.3,16.7,0.0,0.0,0.0,.008,-3.9,-1.0,-4.9,0.0,
4,Rick Barry,34,SF,2,65,12.1,.421,.320,2.5,9.8,5.7,22.1,0.0,1.6,6.6,17.8,0.1,0.0,0.1,.063,-0.7,-0.7,-1.4,0.0,
5,Rudy Tomjanovich,30,PF,2,64,12.0,.397,.217,8.9,11.7,10.1,5.1,0.8,0.8,3.8,15.5,0.0,0.0,0.0,.031,0.8,-2.3,-1.4,0.0,
6,Robert Reid,23,SF,2,45,11.9,.477,.529,9.0,9.5,9.2,7.5,1.1,2.3,19.3,21.9,0.0,0.0,0.0,-0.003,-2.2,-0.9,-3.1,0.0,
7,Slick Watts,27,PG,2,43,10.5,.429,.200,7.6,7.4,7.5,26.7,4.6,1.2,30.0,20.6,-0.1,0.0,-0.1,-0.069,-3.7,2.2,-1.5,0.0,
8,Dwight Jones,26,C,2,33,26.1,.639,.462,9.9,25.9,16.8,16.9,1.5,6.4,27.7,24.9,0.1,0.0,0.1,.143,3.1,4.4,7.5,0.1,
9,Mike Dunleavy,24,SG,1,10,-6.3,.000,.000,0.0,10.7,4.6,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,-0.167,-11.9,-2.8,-14.7,0.0,
10,Alonzo Bradley,25,SF,1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.047,-4.3,-2.7,-7.0,0.0,
11,Jacky Dorsey,24,SF,1,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.047,-4.3,-2.7,-7.0,0.0,
