Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Moses Malone,23,C,82,82,3390,23.7,.604,.612,19.2,27.1,23.2,5.9,1.1,1.8,16.2,23.4,10.6,3.5,14.1,.200,4.5,-1.7,2.8,4.1,"MVP-1,AS,NBA1"
2,Calvin Murphy,30,PG,82,,2941,16.1,.539,.186,2.9,3.5,3.2,17.0,1.8,0.1,10.8,23.2,6.1,0.7,6.8,.112,0.9,-1.0,-0.1,1.4,AS
3,Rudy Tomjanovich,30,PF,74,,2641,16.4,.543,.184,7.1,16.3,11.8,7.3,0.8,0.4,9.6,21.4,5.0,1.1,6.2,.112,1.6,-1.8,-0.2,1.2,AS
4,Rick Barry,34,SF,80,,2566,14.7,.504,.169,1.7,9.9,5.9,25.7,1.7,0.8,15.6,19.6,2.9,1.3,4.2,.078,0.9,-0.1,0.8,1.8,
5,Robert Reid,23,SF,82,,2259,13.9,.521,.239,6.3,16.8,11.6,13.2,1.5,1.1,13.2,17.3,2.9,1.7,4.5,.096,0.0,0.5,0.4,1.4,
6,Mike Newlin,30,SG,76,,1828,12.9,.565,.418,3.1,7.0,5.1,20.2,1.3,0.3,20.3,18.6,2.4,0.5,2.9,.076,-0.3,-1.0,-1.3,0.3,
7,Mike Dunleavy,24,SG,74,,1486,14.9,.582,.433,2.1,7.2,4.7,27.4,1.7,0.2,20.4,16.9,2.8,0.5,3.4,.109,0.8,-0.5,0.3,0.9,
8,Dwight Jones,26,C,81,,1215,10.9,.505,.334,10.0,19.2,14.7,5.9,1.3,1.1,18.4,18.0,0.3,0.9,1.3,.050,-2.8,-0.8,-3.7,-0.5,
9,Slick Watts,27,PG,61,,1046,11.3,.439,.295,3.7,7.0,5.4,27.2,3.2,0.7,21.7,12.3,0.4,0.8,1.2,.057,-1.2,1.7,0.5,0.7,
10,Alonzo Bradley,25,SF,34,,245,9.3,.468,.375,5.9,14.4,10.2,8.8,0.9,0.2,14.2,19.2,0.0,0.1,0.1,.024,-3.0,-1.2,-4.2,-0.1,
11,Jacky Dorsey,24,SF,20,,108,12.5,.560,.372,12.3,10.9,11.6,2.6,0.4,1.0,13.8,21.2,0.1,0.0,0.2,.076,-3.2,-1.1,-4.3,-0.1,
12,E.C. Coleman,28,PF,6,,39,10.9,.739,.143,2.8,16.5,9.8,3.2,2.4,0.0,0.0,7.5,0.1,0.0,0.1,.169,-3.7,0.4,-3.2,0.0,
13,Tom Barker,23,C,5,,16,13.2,.581,.333,13.8,26.8,20.4,0.0,0.0,0.0,12.7,19.4,0.0,0.0,0.0,.147,-4.3,-0.3,-4.6,0.0,
