Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Sam Lacey,30,C,5,176,12.5,.467,.452,8.9,22.4,14.9,16.9,2.3,3.3,27.4,14.8,-0.1,0.3,0.2,.062,-0.7,2.0,1.3,0.1,
2,Scott Wedman,26,SF,5,174,16.9,.521,.410,6.9,16.0,10.9,8.8,2.3,1.0,13.2,22.9,0.2,0.3,0.5,.133,2.2,0.1,2.3,0.2,
3,Otis Birdsong,23,SG,5,168,19.3,.566,.500,4.4,6.9,5.5,9.5,2.7,0.0,9.7,23.0,0.4,0.2,0.7,.186,3.8,0.5,4.3,0.3,
4,Phil Ford,22,PG,5,143,6.3,.304,.281,1.3,8.1,4.3,29.4,3.8,0.0,19.0,20.8,-0.5,0.2,-0.2,-0.078,-4.6,0.0,-4.5,-0.1,
5,Bill Robinzine,26,PF,5,118,15.2,.459,.157,11.7,20.6,15.6,4.2,5.0,0.0,12.8,19.9,0.0,0.3,0.3,.114,-0.5,0.9,0.4,0.1,
6,Darnell Hillman,29,PF,5,112,8.3,.367,.531,15.6,14.5,15.1,10.1,1.6,1.5,20.2,16.6,-0.2,0.2,0.0,.000,-2.7,-1.4,-4.1,-0.1,
7,Billy McKinney,23,PG,5,96,11.7,.418,.175,3.8,3.6,3.7,39.1,2.3,0.0,21.8,21.6,-0.1,0.1,0.0,-0.003,0.6,-1.8,-1.2,0.0,
8,Lucius Allen,31,PG,5,73,12.2,.520,.188,2.5,7.9,4.9,7.0,1.2,0.8,12.6,20.4,0.1,0.1,0.1,.084,-0.5,-0.8,-1.3,0.0,
9,Bob Nash,28,SF,5,64,3.9,.382,.370,8.6,9.1,8.8,0.0,0.0,3.6,18.2,22.6,-0.2,0.1,-0.1,-0.073,-5.1,-3.0,-8.1,-0.1,
10,Richard Washington,23,PF,4,52,12.8,.575,.100,5.3,22.3,12.8,0.0,0.9,1.1,4.6,15.8,0.1,0.1,0.2,.176,-2.5,-0.1,-2.5,0.0,
11,Gus Gerard,25,SF,5,24,12.3,.465,.444,7.7,29.0,17.1,0.0,1.9,2.4,8.5,18.4,0.0,0.0,0.1,.110,-2.8,0.6,-2.2,0.0,
