Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Otis Birdsong,23,SG,82,82,2839,18.4,.544,.280,6.6,7.0,6.8,14.4,2.0,0.3,10.9,24.9,5.9,2.9,8.8,.148,2.4,-0.2,2.2,3.0,AS
2,Phil Ford,22,PG,79,,2723,15.8,.534,.399,1.3,6.1,3.6,32.2,2.9,0.1,21.5,21.2,2.5,3.2,5.7,.101,0.9,0.0,0.9,2.0,"MVP-8,ROY-1,NBA2"
3,Sam Lacey,30,C,82,,2627,15.3,.544,.324,7.2,22.2,14.5,20.1,1.8,3.0,23.5,15.2,2.0,4.5,6.5,.119,0.8,3.1,3.9,3.9,
4,Scott Wedman,26,SF,73,,2498,16.9,.572,.258,5.7,11.2,8.4,8.0,1.4,0.7,8.3,19.6,6.0,2.6,8.6,.165,2.0,-0.2,1.9,2.4,
5,Bill Robinzine,26,PF,82,,2179,16.4,.581,.294,10.6,21.5,15.9,6.5,2.2,0.4,15.9,19.8,3.4,3.4,6.9,.151,0.0,0.3,0.3,1.3,
6,Darnell Hillman,29,PF,78,,1618,10.7,.519,.523,9.1,20.2,14.5,6.9,1.4,2.3,20.3,15.7,0.2,2.4,2.6,.077,-2.8,0.9,-1.8,0.1,
7,Bob Nash,28,SF,82,,1307,9.6,.467,.165,6.2,11.1,8.6,7.0,1.0,0.6,12.8,18.9,-0.1,1.2,1.1,.042,-2.1,-1.1,-3.2,-0.4,
8,Billy McKinney,23,PG,78,,1242,15.6,.555,.340,1.7,5.8,3.7,27.0,2.1,0.1,18.4,20.8,1.7,1.2,3.0,.114,0.7,-0.3,0.4,0.7,
9,Tom Burleson,26,C,56,,927,15.3,.522,.494,9.6,23.7,16.5,6.9,1.3,3.5,13.3,19.9,1.1,1.6,2.7,.140,-1.4,1.0,-0.4,0.4,
10,Marlon Redmond,23,SG,49,,736,11.3,.447,.133,8.2,7.7,8.0,10.6,1.7,1.2,12.4,23.7,-0.3,0.8,0.4,.029,-1.8,-0.9,-2.7,-0.1,
11,Gus Gerard,25,SF,56,,459,11.4,.467,.466,9.0,14.1,11.5,6.0,1.8,1.6,13.5,22.3,-0.1,0.6,0.5,.053,-2.7,-0.4,-3.1,-0.1,
12,Lucius Allen,31,PG,31,,413,8.7,.416,.190,3.6,8.6,6.1,13.6,2.3,0.8,13.7,20.3,-0.4,0.5,0.1,.007,-3.7,0.4,-3.3,-0.1,
13,Richard Washington,23,PF,18,,161,5.3,.396,.390,7.3,25.6,16.2,5.1,1.9,1.0,23.8,15.1,-0.3,0.3,0.0,-0.006,-5.1,0.4,-4.7,-0.1,
14,Ron Behagen,28,PF,9,,126,10.8,.492,.220,9.3,17.7,13.4,5.2,0.7,0.4,9.9,18.6,0.1,0.1,0.3,.096,-2.9,-0.6,-3.5,-0.1,
