Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kareem Abdul-Jabbar,31,C,80,,3157,25.5,.612,.352,7.6,26.7,17.6,18.9,1.1,5.0,15.3,23.3,8.8,5.6,14.4,.219,4.6,3.0,7.6,7.7,"MVP-4,AS,NBA2"
2,Norm Nixon,23,PG,82,82,3145,18.2,.567,.178,1.8,6.0,4.0,30.5,2.9,0.3,15.7,18.7,6.5,3.1,9.6,.146,1.8,0.4,2.2,3.3,
3,Jamaal Wilkes,25,SF,82,82,2915,16.4,.544,.291,6.5,15.7,11.4,10.3,2.1,0.5,13.8,22.3,3.4,3.4,6.9,.113,0.2,-0.4,-0.2,1.3,
4,Adrian Dantley,23,SF,60,,1775,18.4,.589,.467,8.5,12.2,10.5,10.3,1.6,0.3,14.9,23.4,4.0,1.6,5.7,.153,1.7,-1.2,0.5,1.1,
5,Lou Hudson,34,SG,78,,1686,13.7,.556,.195,4.4,4.6,4.5,10.8,1.6,0.5,12.5,18.7,2.3,1.1,3.3,.095,-0.1,-0.9,-1.1,0.4,
6,Ron Boone,32,SG,82,,1583,9.3,.495,.183,3.9,6.0,5.0,12.1,1.9,0.4,19.3,19.3,-0.8,1.2,0.4,.012,-3.2,-1.0,-4.2,-0.9,
7,Don Ford,26,PF,79,,1540,11.1,.540,.198,6.2,12.4,9.5,8.0,1.5,0.8,16.0,15.1,1.0,1.5,2.5,.078,-1.4,-0.3,-1.7,0.1,
8,Dave Robisch,29,C,80,,1219,11.9,.499,.342,7.7,17.1,12.7,9.4,0.7,1.0,12.1,14.4,1.2,1.2,2.3,.092,-0.5,-0.5,-1.1,0.3,
9,Jim Price,29,PG,75,,1207,12.3,.524,.230,2.5,8.3,5.5,21.9,2.5,0.5,20.9,15.9,0.5,1.2,1.8,.070,-1.4,0.6,-0.8,0.4,
10,Kenny Carr,23,PF,72,,1149,12.6,.522,.304,7.0,19.9,13.8,6.8,1.5,1.4,18.5,21.8,-0.4,1.5,1.1,.046,-2.8,-0.7,-3.5,-0.4,
11,Ron Carter,22,SG,46,,332,9.3,.487,.435,7.3,7.4,7.4,9.4,2.3,1.1,21.3,22.6,-0.3,0.3,0.0,-0.002,-4.1,-0.7,-4.8,-0.3,
12,Brad Davis,23,PG,5,,65,8.5,.745,.364,0.0,1.6,0.8,16.4,1.4,0.0,32.0,11.6,0.1,0.0,0.1,.066,-3.3,-0.2,-3.5,0.0,
13,Michael Cooper,22,SG,3,,7,16.3,.500,.000,0.0,0.0,0.0,0.0,6.5,0.0,14.3,40.0,0.0,0.0,0.0,-0.073,-4.6,0.0,-4.6,0.0,
