Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Bernard King,22,SF,82,2859,17.9,.542,.455,8.9,16.0,12.3,16.4,1.8,0.7,16.5,25.6,2.8,3.6,6.5,.109,1.6,-0.2,1.3,2.4,
2,John Williamson,27,SG,74,2451,16.4,.527,.320,2.2,6.4,4.2,16.8,1.6,0.3,13.0,27.4,3.0,2.0,5.1,.099,0.7,-1.1,-0.5,0.9,
3,Eddie Jordan,24,PG,82,2260,13.8,.470,.285,3.3,6.8,5.0,23.1,3.9,1.0,18.4,22.0,-0.9,3.3,2.4,.051,-1.4,1.6,0.2,1.2,
4,George Johnson,30,C,78,2058,11.1,.475,.286,9.9,22.1,15.7,5.5,1.4,6.6,24.7,13.2,-1.3,3.9,2.6,.061,-3.7,2.8,-0.9,0.6,
5,Jan van Breda Kolff,27,SF,80,1998,10.8,.534,.433,5.5,15.0,10.1,11.6,1.9,2.0,21.1,12.0,0.9,2.7,3.6,.087,-1.6,1.7,0.1,1.1,
6,Tim Bassett,27,PF,82,1508,8.0,.433,.419,11.7,17.7,14.6,8.2,1.3,1.0,21.7,11.8,-0.5,1.9,1.4,.045,-3.2,0.1,-3.1,-0.4,
7,Eric Money,23,PG,47,1434,15.4,.519,.271,3.9,5.4,4.6,26.7,2.3,0.4,18.0,24.1,0.8,1.4,2.1,.072,0.4,-0.7,-0.3,0.6,
8,Winford Boynes,21,SG,69,1176,11.7,.482,.284,5.2,8.9,6.9,9.7,1.6,0.3,15.1,25.1,-0.5,1.1,0.6,.026,-2.2,-1.5,-3.7,-0.5,
9,Wilson Washington,23,PF,62,1139,12.9,.523,.240,7.8,19.8,13.6,6.0,1.2,3.2,17.0,19.0,0.2,1.7,1.8,.077,-2.6,0.5,-2.1,0.0,
10,Phil Jackson,33,PF,59,1070,10.7,.536,.347,5.6,12.2,8.7,10.7,1.8,1.1,18.3,15.0,0.6,1.3,1.9,.086,-2.2,0.8,-1.5,0.1,
11,Harvey Catchings,27,C,32,659,11.6,.483,.349,10.9,22.1,16.3,6.0,1.0,4.6,20.2,14.4,0.0,1.1,1.0,.074,-2.7,1.1,-1.6,0.1,
12,Ralph Simpson,29,SG,32,527,8.4,.414,.300,3.6,8.7,6.1,18.1,1.0,0.4,16.5,22.9,-0.8,0.4,-0.4,-0.036,-3.1,-2.0,-5.1,-0.4,
13,Al Skinner,26,SG,23,334,16.2,.565,.656,3.6,9.8,6.6,20.6,2.9,0.3,19.1,22.4,0.5,0.4,1.0,.137,-0.8,1.0,0.2,0.2,
14,Bob Elliott,23,PF,14,282,13.6,.630,.767,5.7,15.6,10.4,10.7,0.9,0.8,21.0,16.4,0.4,0.3,0.7,.123,-0.8,0.0,-0.8,0.1,
