Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Rich Kelley,25,C,80,2705,19.9,.585,.526,11.3,25.3,18.5,14.4,2.1,3.0,21.2,19.2,4.1,4.5,8.6,.152,1.1,1.8,2.8,3.3,
2,Jim McElroy,25,PG,79,2698,16.2,.536,.310,2.3,5.4,3.9,24.2,2.4,0.9,16.0,21.0,3.1,1.8,4.9,.088,0.6,-0.1,0.5,1.7,
3,Gail Goodrich,35,SG,74,2130,13.1,.499,.240,3.2,5.1,4.2,23.5,1.9,0.3,16.4,20.1,1.1,1.0,2.2,.049,-1.1,-1.1,-2.2,-0.1,
4,Pete Maravich,31,SG,49,1824,13.4,.478,.268,1.8,4.6,3.2,20.4,1.5,0.5,14.7,28.4,-0.5,0.7,0.1,.004,-1.2,-2.5,-3.7,-0.8,AS
5,Truck Robinson,27,PF,43,1781,18.0,.537,.414,7.9,23.3,15.8,6.2,0.7,1.7,12.9,23.8,2.2,2.0,4.1,.111,0.6,-1.3,-0.7,0.6,
6,James Hardy,22,SF,68,1456,10.7,.487,.207,8.4,12.3,10.4,5.9,1.6,2.1,16.7,14.6,0.0,1.3,1.3,.043,-1.9,0.0,-1.9,0.0,
7,Aaron James,26,SF,73,1417,12.7,.526,.222,6.9,10.1,8.6,8.2,0.9,0.7,13.8,21.6,1.0,0.7,1.7,.057,-1.8,-1.7,-3.5,-0.5,
8,Paul Griffin,25,PF,77,1398,10.0,.527,.659,9.1,17.9,13.7,12.1,1.7,1.3,28.9,11.0,0.0,1.5,1.6,.054,-2.6,1.1,-1.5,0.2,
9,Spencer Haywood,29,PF,34,1338,17.7,.537,.210,8.0,15.6,11.9,8.4,1.0,1.9,12.9,24.9,1.5,1.2,2.7,.096,0.6,-1.0,-0.4,0.5,
10,Tommie Green,22,PG,59,809,8.3,.438,.266,2.5,5.6,4.1,22.2,3.3,0.4,25.2,16.7,-1.0,0.7,-0.3,-0.017,-4.9,0.6,-4.2,-0.5,
11,Joe Meriweather,25,C,36,640,11.8,.495,.417,9.8,18.1,14.1,6.4,1.2,3.1,16.9,15.9,0.1,0.7,0.9,.066,-3.1,0.4,-2.7,-0.1,
12,Ira Terrell,24,SF,31,572,8.0,.476,.264,6.0,12.4,9.3,5.8,1.2,1.9,18.3,13.1,-0.2,0.4,0.3,.023,-3.6,0.0,-3.6,-0.2,
13,Marty Byrnes,22,SF,36,530,10.6,.498,.325,7.8,9.5,8.7,10.9,1.0,0.7,17.4,16.5,0.1,0.3,0.4,.032,-1.3,-1.3,-2.7,-0.1,
14,Ron Lee,26,PG,17,398,9.6,.406,.298,5.3,8.1,6.8,23.5,4.2,0.2,25.9,18.1,-0.7,0.5,-0.2,-0.027,-4.2,1.4,-2.8,-0.1,
15,Gus Bailey,27,SG,2,9,6.1,.286,.000,22.5,0.0,10.9,33.2,0.0,0.0,12.5,33.9,0.0,0.0,0.0,-0.201,-4.4,-0.4,-4.8,0.0,
