Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Toby Knight,23,SF,82,70,2667,15.3,.539,.175,8.1,14.1,11.1,6.6,1.0,1.2,11.4,21.0,3.7,2.0,5.7,.102,0.1,-1.1,-1.0,0.7,
2,Jim Cleamons,29,PG,79,71,2390,11.8,.513,.260,2.9,7.2,5.1,19.7,1.4,0.2,16.2,14.3,2.3,1.1,3.4,.068,-0.7,-0.6,-1.2,0.5,
3,Ray Williams,24,PG,81,53,2370,17.7,.502,.249,4.7,8.5,6.6,31.0,2.5,0.4,17.0,27.8,1.9,1.9,3.9,.078,1.3,-0.7,0.6,1.6,
4,Marvin Webster,26,C,60,55,2027,13.4,.504,.470,10.5,24.4,17.4,10.6,0.5,2.9,20.2,16.3,0.5,2.3,2.8,.066,-0.9,0.3,-0.6,0.7,
5,Glen Gondrezick,23,SF,75,40,1602,11.0,.511,.298,9.8,18.7,14.3,8.0,2.8,0.6,20.5,11.4,0.6,2.1,2.7,.082,-1.8,1.4,-0.4,0.6,
6,Bob McAdoo,27,PF,40,32,1594,21.5,.572,.422,6.3,19.4,12.8,12.2,1.8,1.6,14.0,26.9,3.0,1.8,4.8,.146,3.2,0.2,3.4,2.2,
7,Earl Monroe,34,SG,64,24,1393,15.4,.513,.220,2.0,3.7,2.9,19.6,1.6,0.2,11.3,24.3,1.9,0.5,2.5,.085,0.3,-1.4,-1.1,0.3,
8,Micheal Ray Richardson,23,PG,72,5,1218,12.4,.435,.265,6.9,13.8,10.3,22.9,3.8,0.8,20.7,21.9,-1.4,1.7,0.3,.013,-2.7,1.6,-1.1,0.3,
9,Mike Glenn,23,SG,75,11,1171,15.5,.567,.130,2.6,5.0,3.8,16.5,1.4,0.3,11.1,19.3,2.4,0.5,2.8,.117,0.6,-0.7,0.0,0.6,
10,Joe Meriweather,25,C,41,26,1053,11.2,.542,.348,8.2,14.8,11.5,5.9,1.0,2.7,19.1,16.6,0.4,0.9,1.4,.063,-2.9,0.1,-2.9,-0.2,
11,Spencer Haywood,29,PF,34,18,1023,15.6,.528,.287,6.9,14.8,10.8,8.0,0.4,1.5,13.2,25.3,1.0,0.7,1.6,.077,-0.1,-1.7,-1.8,0.1,
12,John Rudd,23,SF,58,3,723,8.2,.529,.699,10.2,14.7,12.4,5.7,1.1,0.6,25.3,12.6,0.1,0.5,0.6,.040,-3.0,-0.8,-3.8,-0.3,
13,Tom Barker,23,C,22,,329,8.8,.460,.196,10.1,17.1,13.6,3.4,0.8,1.1,15.3,15.6,-0.1,0.3,0.2,.031,-3.3,-1.3,-4.6,-0.2,
14,Greg Bunch,22,SF,12,0,97,9.2,.448,.462,9.9,8.9,9.4,4.9,1.4,1.6,13.8,14.7,0.0,0.1,0.1,.046,-2.9,-0.4,-3.3,0.0,
15,Butch Beard,31,PG,7,2,85,9.0,.423,.000,1.3,11.5,6.3,27.9,3.8,0.0,27.8,16.6,-0.1,0.1,0.0,-0.012,-4.0,0.6,-3.4,0.0,
16,Ron Behagen,28,PF,5,5,38,7.5,.466,.167,5.6,25.6,15.6,6.6,2.4,0.0,23.7,17.4,-0.1,0.1,0.0,.004,-4.5,0.1,-4.4,0.0,
