Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Paul Westphal,28,SG,15,534,17.8,.532,.230,1.5,4.9,3.3,20.9,1.3,0.5,10.7,26.6,0.9,0.6,1.5,.135,3.3,-1.6,1.7,0.5,
2,Don Buse,28,PG,15,512,10.0,.452,.284,3.7,7.5,5.7,13.6,2.1,0.5,10.3,11.4,0.3,0.7,1.0,.095,-0.1,0.8,0.8,0.4,
3,Walter Davis,24,SF,15,490,21.8,.580,.393,5.5,9.3,7.5,27.8,2.5,0.5,18.7,28.9,1.0,0.8,1.7,.171,5.8,0.1,5.9,1.0,
4,Truck Robinson,27,PF,15,392,11.4,.464,.496,10.8,21.4,16.4,3.7,0.7,1.6,15.5,20.5,-0.1,0.7,0.6,.075,-1.6,-1.9,-3.5,-0.1,
5,Alvan Adams,24,C,12,372,15.1,.504,.223,7.5,17.7,12.8,21.5,1.4,1.7,19.1,20.4,0.1,0.7,0.8,.104,1.6,0.9,2.5,0.4,
6,Gar Heard,30,PF,15,320,11.2,.413,.349,8.4,25.9,17.6,5.5,1.8,4.3,17.5,15.1,-0.3,0.8,0.5,.075,-1.6,1.4,-0.2,0.1,
7,Mike Bratz,23,PG,15,293,15.2,.564,.513,3.8,3.8,3.8,15.9,2.4,0.5,17.1,23.3,0.4,0.4,0.8,.128,1.3,-0.2,1.0,0.2,
8,Joel Kramer,23,PF,15,257,13.9,.601,.610,9.1,14.2,11.8,10.3,1.6,1.4,17.6,14.2,0.5,0.4,0.9,.169,0.9,0.7,1.5,0.2,
9,Alvin Scott,23,SF,15,217,10.7,.433,.404,7.2,13.1,10.3,13.6,1.3,3.9,18.6,13.9,-0.1,0.4,0.3,.068,0.3,1.5,1.8,0.2,
10,Bayard Forrest,24,C,14,110,7.9,.491,.556,9.1,18.4,14.0,13.4,1.7,1.0,30.9,11.8,-0.1,0.2,0.1,.055,-2.4,1.0,-1.4,0.0,
11,Ted McClain,32,SG,14,103,10.0,.524,.471,5.4,10.8,8.2,18.2,2.7,0.0,28.1,22.3,-0.1,0.2,0.1,.035,-2.9,0.0,-2.9,0.0,
