Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Paul Westphal,28,SG,81,,2641,22.6,.580,.271,1.5,5.1,3.3,29.9,1.9,0.5,12.2,27.8,8.2,2.2,10.4,.189,4.6,-0.9,3.7,3.8,"AS,NBA1"
2,Don Buse,28,PG,82,82,2544,11.5,.519,.158,2.0,7.4,4.7,16.3,2.7,0.4,13.5,10.8,2.6,2.8,5.4,.101,-0.9,1.7,0.8,1.8,
3,Walter Davis,24,SF,79,,2437,23.0,.606,.300,5.1,11.8,8.5,21.1,2.7,0.6,16.0,29.0,6.3,3.1,9.4,.184,3.8,0.4,4.2,3.8,"MVP-10,AS,NBA2"
4,Alvan Adams,24,C,77,,2364,20.4,.570,.269,10.5,22.4,16.6,20.8,2.1,1.4,18.9,24.1,3.9,3.7,7.6,.154,2.3,1.2,3.4,3.2,
5,Alvin Scott,23,SF,81,,1737,13.2,.579,.424,6.8,16.1,11.5,8.5,2.0,1.9,17.4,12.6,2.0,2.4,4.4,.121,0.1,1.3,1.4,1.5,
6,Joel Kramer,23,PF,82,,1401,11.3,.544,.476,10.8,15.8,13.4,7.8,1.4,0.9,18.0,15.0,1.4,1.6,3.0,.103,-1.9,-0.3,-2.2,-0.1,
7,Mike Bratz,23,PG,77,,1297,12.6,.513,.319,4.8,7.3,6.0,17.6,2.2,0.3,18.2,22.0,0.5,1.3,1.7,.064,-1.8,-0.6,-2.4,-0.1,
8,Bayard Forrest,24,C,75,,1243,9.6,.462,.423,10.0,18.0,14.1,15.3,1.0,1.5,24.9,13.3,-0.2,1.5,1.2,.048,-1.9,0.8,-1.1,0.3,
9,Gar Heard,30,PF,63,,1213,12.6,.479,.281,9.1,22.8,16.1,5.9,1.9,2.4,12.7,15.0,0.6,2.0,2.6,.101,-1.5,0.6,-0.9,0.3,
10,Ron Lee,26,PG,43,,948,11.1,.490,.272,5.0,8.2,6.6,17.6,3.2,0.2,21.3,22.1,-0.6,1.2,0.6,.028,-3.4,0.3,-3.1,-0.3,
11,Truck Robinson,27,PF,26,,756,14.2,.539,.369,8.4,24.4,16.5,6.9,1.0,0.8,18.9,24.3,0.0,1.0,1.0,.061,-1.9,-1.5,-3.5,-0.3,
12,Marty Byrnes,22,SF,43,,734,9.4,.545,.448,7.5,7.2,7.3,10.1,0.9,0.1,22.8,18.1,0.1,0.5,0.5,.036,-2.0,-2.0,-4.0,-0.4,
13,Ted McClain,32,SG,36,,465,10.1,.545,.348,6.1,10.3,8.2,15.4,1.8,0.0,26.2,17.1,0.0,0.4,0.5,.049,-2.3,-0.5,-2.8,-0.1,
