Rk,Player,Age,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Mychal Thompson,24,C,3,121,17.7,.505,.185,7.7,20.5,13.8,8.3,0.8,2.5,7.9,21.6,0.2,0.2,0.3,.127,2.4,-1.5,0.9,0.1,
2,Maurice Lucas,26,PF,3,104,10.2,.374,.171,2.0,32.5,16.6,25.3,1.4,0.6,20.0,21.9,-0.2,0.2,-0.1,-0.037,-2.6,0.3,-2.3,0.0,
3,Ron Brewer,23,SG,3,94,21.8,.593,.333,4.4,8.4,6.3,14.5,0.5,5.7,10.1,21.8,0.3,0.1,0.4,.198,6.3,0.5,6.8,0.2,
4,Tom Owens,29,C,3,80,14.0,.507,.258,11.7,14.1,12.8,9.9,2.4,0.7,16.9,21.4,0.0,0.1,0.1,.086,-0.9,-1.1,-2.0,0.0,
5,Dave Twardzik,28,PG,3,77,11.6,.648,.857,5.4,4.4,4.9,17.8,3.1,0.0,31.8,15.2,0.1,0.1,0.2,.101,-1.9,0.1,-1.8,0.0,
6,Larry Steele,29,SG,3,73,26.8,.626,.321,8.5,7.7,8.1,16.0,6.5,0.0,8.6,19.8,0.3,0.2,0.5,.300,6.1,4.7,10.8,0.2,
7,Lionel Hollins,25,PG,3,66,2.6,.361,.269,1.6,3.4,2.5,10.8,2.2,0.0,19.4,22.6,-0.2,0.1,-0.2,-0.117,-7.0,-3.0,-10.1,-0.1,
8,T.R. Dunn,23,SG,3,52,10.7,.455,.000,4.0,8.7,6.2,10.6,4.6,0.0,8.3,9.5,0.0,0.1,0.1,.107,-1.0,2.0,1.0,0.0,
9,Clemon Johnson,22,C,3,47,10.8,.442,1.000,11.0,28.7,19.5,5.8,2.0,5.1,30.6,20.1,-0.1,0.1,0.0,-0.024,-3.5,0.1,-3.3,0.0,
10,Ira Terrell,24,SF,1,6,-15.4,.000,.000,0.0,37.5,18.0,0.0,0.0,0.0,0.0,27.5,-0.1,0.0,-0.1,-0.555,-16.1,-10.3,-26.5,0.0,
