Rk,Player,Age,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Tom Owens,29,C,82,82,2791,19.9,.597,.368,10.3,19.2,14.7,15.9,1.0,1.2,16.3,21.5,7.4,3.0,10.4,.179,3.0,-0.2,2.7,3.3,
2,Maurice Lucas,26,PF,69,,2462,18.4,.517,.286,8.6,24.0,16.2,13.1,1.2,1.8,14.6,25.5,2.9,3.3,6.2,.121,1.0,-0.3,0.7,1.7,AS
3,Ron Brewer,23,SG,81,,2454,14.2,.544,.292,3.9,6.5,5.2,9.4,1.9,1.8,13.4,18.4,3.3,2.3,5.6,.109,0.5,0.2,0.7,1.7,
4,Mychal Thompson,24,C,73,,2144,17.0,.508,.287,10.1,21.3,15.7,12.1,1.5,3.5,16.3,23.2,1.2,3.2,4.4,.098,-0.1,0.6,0.5,1.3,
5,Lionel Hollins,25,PG,64,,1967,14.0,.496,.249,1.8,6.7,4.2,23.9,2.7,0.7,18.5,24.2,0.2,2.1,2.3,.055,-1.0,-0.5,-1.5,0.2,
6,T.R. Dunn,23,SG,80,,1828,12.3,.496,.288,8.7,12.3,10.5,7.4,2.2,0.7,13.1,15.3,1.7,2.0,3.7,.097,-0.3,0.1,-0.2,0.8,
7,Dave Twardzik,28,PG,64,,1570,14.9,.651,.785,2.7,5.7,4.2,14.6,2.5,0.1,19.9,16.1,3.7,1.4,5.1,.157,-0.2,0.6,0.4,0.9,
8,Larry Steele,29,SG,72,,1488,10.1,.477,.282,4.3,8.5,6.4,12.6,2.3,0.4,15.0,16.9,0.6,1.5,2.0,.065,-2.8,0.3,-2.5,-0.2,
9,Bob Gross,25,SF,53,,1441,14.0,.519,.269,8.1,11.2,9.6,17.0,2.3,1.8,19.6,16.9,1.2,1.7,2.9,.097,0.4,0.9,1.4,1.2,
10,Clemon Johnson,22,C,74,,794,12.1,.481,.341,11.5,20.3,15.8,12.8,1.3,2.5,20.7,15.6,0.1,1.1,1.2,.070,-1.5,0.8,-0.7,0.3,
11,Jim McMillian,30,SF,23,,278,11.9,.499,.284,6.3,9.3,7.8,15.3,1.7,0.6,16.1,14.1,0.3,0.2,0.5,.086,-0.4,0.0,-0.4,0.1,
12,Kim Anderson,23,SF,21,,224,3.0,.353,.364,8.3,14.1,11.2,8.5,0.8,1.3,19.8,19.6,-0.6,0.2,-0.4,-0.078,-6.1,-1.3,-7.5,-0.4,
13,Ira Terrell,24,SF,18,,160,14.1,.561,.278,6.9,19.0,12.8,13.2,2.0,2.1,21.9,19.1,0.1,0.2,0.3,.087,-2.1,0.8,-1.3,0.1,
14,Willie Smith,25,PG,13,,131,14.6,.563,.386,5.9,5.2,5.5,18.0,3.5,0.4,21.4,19.7,0.1,0.2,0.3,.103,-2.0,0.7,-1.3,0.1,
15,Lloyd Neal,28,PF,4,,48,-0.6,.393,.091,4.6,16.4,10.4,2.6,0.0,1.2,34.4,14.3,-0.1,0.0,-0.1,-0.112,-4.9,-0.6,-5.5,-0.1,
